sector_name,change_pct,up_count,down_count,top_stock
特高压,0.57,0,0,
煤化工概念,-1.67,0,0,
旅游概念,-1.8,0,0,
职业教育,-2.11,0,0,
氟化工概念,-2.51,0,0,
页岩气,-2.52,0,0,
禽流感,-2.71,0,0,
生态农业,-2.76,0,0,
黄金概念,-2.99,0,0,
高铁,-3.16,0,0,
移动支付,-3.21,0,0,
网络游戏,-3.27,0,0,
冷链物流,-3.34,0,0,
安防,-3.56,0,0,
建筑节能,-3.81,0,0,
新疆振兴,-4.02,0,0,
网络安全,-4.27,0,0,
3D打印,-4.69,0,0,
手机游戏,-4.74,0,0,
天津自贸区,-4.92,0,0,
特钢概念,-4.93,0,0,
期货概念,-5.05,0,0,
PM2.5,-5.13,0,0,
土地流转,-5.21,0,0,
天然气,-5.7,0,0,
在线教育,-5.72,0,0,
大飞机,-5.96,0,0,
石墨烯,-6.5,0,0,
小金属概念,-6.55,0,0,
猪肉,-6.74,0,0,
参股券商,-7.03,0,0,
举牌,-7.5,0,0,
福建自贸区,-7.76,0,0,
参股保险,-8.26,0,0,
固废处理,-8.84,0,0,
乳业,-9.15,0,0,
足球概念,-9.57,0,0,
家用电器,-11.75,0,0,
上海自贸区,-11.83,0,0,
文化传媒概念,-12.11,0,0,
新股与次新股,-13.81,0,0,
稀土永磁,-18.97,0,0,
