sector_name,change_pct,up_count,down_count,top_stock
水泥行业,4.93,0,0,
电子信息,3.6,0,0,
物资外贸,2.53,0,0,
其它行业,2.42,0,0,
印刷包装,1.86,0,0,
摩托车,1.19,0,0,
开发区,1.05,0,0,
环保行业,0.8,0,0,
陶瓷行业,0.8,0,0,
酿酒行业,0.58,0,0,
纺织机械,0.48,0,0,
生物制药,0.4,0,0,
家电行业,0.37,0,0,
次新股,0.24,0,0,
酒店旅游,0.2,0,0,
电器行业,0.2,0,0,
发电设备,0.19,0,0,
综合行业,0.0,0,0,
家具行业,0.0,0,0,
飞机制造,-0.12,0,0,
玻璃行业,-0.49,0,0,
公路桥梁,-0.59,0,0,
塑料制品,-0.77,0,0,
造纸行业,-0.84,0,0,
农林牧渔,-0.87,0,0,
金融行业,-1.09,0,0,
电子器件,-1.11,0,0,
商业百货,-1.15,0,0,
机械行业,-1.21,0,0,
建筑建材,-1.38,0,0,
有色金属,-1.82,0,0,
化纤行业,-1.88,0,0,
船舶制造,-2.03,0,0,
食品行业,-2.23,0,0,
电力行业,-2.27,0,0,
医疗器械,-2.3,0,0,
供水供气,-2.56,0,0,
仪器仪表,-3.35,0,0,
服装鞋类,-3.83,0,0,
化工行业,-3.85,0,0,
钢铁行业,-3.98,0,0,
汽车制造,-4.16,0,0,
纺织行业,-4.92,0,0,
农药化肥,-5.28,0,0,
传媒娱乐,-5.42,0,0,
煤炭行业,-6.75,0,0,
交通运输,-7.21,0,0,
石油行业,-8.96,0,0,
房地产,-9.79,0,0,
