sector_name,change_pct,up_count,down_count,top_stock
赛马概念,6.84,0,0,
太赫兹,4.05,0,0,
语音技术,3.87,0,0,
参股银行,3.01,0,0,
黄金概念,2.94,0,0,
氟化工概念,2.87,0,0,
金属回收,2.84,0,0,
网络安全,2.68,0,0,
量子科技,2.67,0,0,
举牌,2.56,0,0,
深圳国企改革,2.54,0,0,
禽流感,2.49,0,0,
职业教育,2.44,0,0,
工业母机,2.31,0,0,
猪肉,2.3,0,0,
无线充电,2.27,0,0,
横琴新区,2.19,0,0,
足球概念,2.11,0,0,
农村电商,1.76,0,0,
福建自贸区,1.63,0,0,
航运概念,1.51,0,0,
新疆振兴,1.46,0,0,
土地流转,1.42,0,0,
参股保险,1.3,0,0,
乳业,1.07,0,0,
安防,1.06,0,0,
时空大数据,1.01,0,0,
参股券商,0.97,0,0,
煤化工概念,0.89,0,0,
净水概念,0.83,0,0,
超级电容,0.82,0,0,
期货概念,0.8,0,0,
碳纤维,0.78,0,0,
磷化工,0.69,0,0,
建筑节能,0.64,0,0,
移动支付,0.6,0,0,
PM2.5,0.52,0,0,
电子纸,0.52,0,0,
人脸识别,0.5,0,0,
土壤修复,0.42,0,0,
特高压,0.41,0,0,
天津自贸区,0.25,0,0,
天然气,0.24,0,0,
手机游戏,0.23,0,0,
小金属概念,0.08,0,0,
供销社,0.07,0,0,
染料,0.02,0,0,
旅游概念,-0.18,0,0,
钠离子电池,-0.4,0,0,
页岩气,-0.52,0,0,
大飞机,-0.52,0,0,
生物疫苗,-0.52,0,0,
高铁,-0.55,0,0,
钛白粉概念,-0.75,0,0,
生态农业,-0.86,0,0,
医药电商,-1.0,0,0,
信托概念,-1.0,0,0,
特钢概念,-1.09,0,0,
转基因,-1.28,0,0,
有机硅概念,-1.5,0,0,
可燃冰,-1.64,0,0,
3D打印,-1.88,0,0,
冷链物流,-2.16,0,0,
金属铜,-2.18,0,0,
互联网保险,-2.19,0,0,
石墨烯,-2.22,0,0,
网络游戏,-2.53,0,0,
两轮车,-3.0,0,0,
在线教育,-3.02,0,0,
眼科医疗,-3.33,0,0,
新型烟草(电子烟),-3.68,0,0,
碳交易,-3.88,0,0,
可降解塑料,-4.15,0,0,
大豆,-4.18,0,0,
稀土永磁,-4.21,0,0,
金属镍,-4.29,0,0,
上海自贸区,-4.5,0,0,
广东自贸区,-4.79,0,0,
新股与次新股,-5.3,0,0,
文化传媒概念,-5.39,0,0,
家用电器,-5.74,0,0,
固废处理,-6.1,0,0,
农机,-6.72,0,0,
草甘膦,-7.75,0,0,
光热发电,-8.19,0,0,
国产航母,-9.52,0,0,
