序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000815,美利云,10.027284622192383,16.13,1447901072,11214592754.55,11214592835.199999,12.972496032714844,206719595,092500,093609,3,3/3,3,IT服务Ⅱ
2,002575,群兴玩具,10.022778511047363,4.83,74023614,2822292165.0,2977695000.0,2.622818946838379,48456975,092500,092500,0,1/1,1,综合Ⅱ
3,301234,五洲医疗,20.0,40.8,21974880,1638961010.3999999,2774400000.0,1.3407810926437378,421712880,092500,092500,0,1/1,1,医疗器械
4,920305,云创退,30.000001907348633,1.3,28445214,105431137.5,172088962.5,37.7346076965332,36272,092500,144706,8,8/6,1,IT服务Ⅱ
5,603221,爱丽家居,9.980988502502441,11.57,1443936,2803063900.0,2829327800.0,0.05151277408003807,251892784,092502,092502,0,2/2,2,家居用品
6,603407,长裕集团,10.001709938049316,64.34,121564318,2310577565.28,26242692426.88,5.261209011077881,107711272,092502,092502,0,5/3,2,化学原料
7,002197,证通电子,9.936908721923828,6.97,135479001,3721980083.64,4282109608.16,3.656069278717041,151142637,093003,093003,0,2/2,2,计算机设
8,603118,共进股份,9.97990608215332,16.42,1813065200,12927078586.52,12927078488.000002,14.109889030456543,126136798,093123,141305,4,4/3,2,通信设备
9,000595,新能股份,10.087719917297363,5.02,73245207,5716054957.32,5716054967.36,1.297195553779602,58243546,093203,093318,1,1/1,1,电力
10,603629,利通电子,10.001858711242676,118.34,1497269728,42688007156.0,43398591520.0,3.5555758476257324,397695770,093204,093204,0,2/2,2,消费电子
11,002879,长缆科技,10.029498100280762,14.92,448910912,2046114193.32,2881165988.8,22.533035278320312,4972836,093236,145036,4,2/2,2,电网设备
12,001258,立新能源,9.990009307861328,11.01,663233552,10275892659.84,10275999941.28,6.5605244636535645,236862996,093257,093257,0,5/5,5,电力
13,002213,大为股份,10.00400161743164,27.49,240189474,5682675043.509999,6530711606.9,4.294761657714844,94710169,093330,093330,0,2/2,2,半导体
