序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
14,301583,托伦斯,19.99848747253418,158.71,2606820320,4893247208.83,29436529657.32,53.99627685546875,42050055,093424,141639,23,2/2,2,半导体
15,002900,哈三联,10.0,11.0,98234761,1772346400.0,3479899984.0,5.687073707580566,64544150,093539,093609,1,1/1,1,化学制药
16,605028,世茂能源,10.022573471069336,24.37,59489555,3899200000.0,3899200000.0,1.5653443336486816,52256591,093742,093742,0,1/1,1,电力
17,603162,海通发展,10.04878044128418,11.28,334262432,4758377917.92,15516938914.56,7.174314022064209,58501464,093839,094218,4,1/1,1,航运港口
18,603725,天安新材,10.040816307067871,13.48,532151104,4109481526.4,4109481526.4,13.137138366699219,12778608,094029,144850,4,1/1,1,家居用品
19,603619,中曼石油,10.0,21.34,999681744,9866302757.74,9866302821.76,10.322547912597656,27045142,094143,130519,17,3/2,1,油服工程
20,605162,新中港,10.028653144836426,7.68,76520873,3401059668.48,3401059614.72,2.3177638053894043,76546928,094152,094152,0,1/1,1,电力
21,002793,罗欣药业,10.022271156311035,4.94,211419763,5364512077.860001,5372687091.200001,4.025010585784912,24031459,094233,094351,2,1/1,1,化学制药
22,603296,华勤技术,10.0,87.67,2418468432,70012915791.17,132925381647.52,3.5236854553222656,182726022,094554,094554,0,1/1,1,消费电子
23,603580,艾艾精工,10.002747535705566,40.03,628228096,5230848196.0,5230848196.0,12.6118745803833,10560714,094615,143109,11,10/7,1,塑料
24,300688,创业黑马,20.00959587097168,25.01,553300256,3710945234.5800004,4186160394.6400003,15.44168472290039,6975289,094812,141457,14,1/1,1,教育
25,600594,益佰制药,9.876543045043945,3.56,110852978,2792442284.0,2792442298.2400002,4.08588171005249,24584292,095005,095005,0,1/1,1,中药Ⅱ
26,000603,盛达资源,9.990253448486328,22.57,920227104,15047788222.630001,15572608094.08,6.274560451507568,70370754,095051,095227,2,2/2,2,贵金属
27,000566,海南海药,9.91561222076416,5.21,719071648,6755992647.93,6759272275.2,10.994967460632324,89103811,095354,102245,1,6/3,1,化学制药
28,000975,山金国际,10.014655113220215,22.52,2073040800,56823304378.84,62437317948.799995,3.707174062728882,49497901,095503,141618,7,1/1,1,贵金属
29,600722,金牛化工,9.988901138305664,9.91,1329859120,6741967989.16,6741968028.8,20.356237411499023,26482493,095847,135138,6,4/3,1,化学原料
30,002515,金字火腿,9.946236610412598,8.18,932897600,9013124198.32,9902823828.8,10.655180931091309,71828154,100424,102321,1,1/1,1,食品加工
31,002953,日丰股份,10.044642448425293,9.86,169831661,2773507252.48,4846975329.28,6.305426120758057,14452896,100645,101027,3,1/1,1,电网设备
32,600396,华电辽能,10.029498100280762,14.92,3552209728,21972785709.64,21972785694.72,16.79142189025879,155594712,101607,130058,3,3/2,1,电力
33,300779,惠城环保,20.0,69.12,1727202704,15702132372.480001,20549919006.72,11.508173942565918,18125752,102021,145042,6,1/1,1,环境治理
34,603893,瑞芯微,10.002403259277344,228.86,8336664832,96783394967.0,96795754780.16,8.824265480041504,163290236,102623,141741,17,1/1,1,半导体
35,603803,瑞斯康达,10.054644584655762,10.07,222154564,4278577418.9900002,4278577368.6400003,5.394840240478516,55667493,102658,102658,0,1/1,1,通信设备
36,605196,华通线缆,9.985152244567871,29.63,750409952,14962047201.029999,15140105574.88,5.19140100479126,30901127,103425,105219,2,1/1,1,电网设备
37,600403,大有能源,10.038609504699707,5.7,813834512,13627630691.4,13627630680.0,6.20886754989624,92336580,104337,143525,2,7/4,1,煤炭开采
38,002545,东方铁塔,10.01213550567627,18.13,546889072,20489868026.039997,22554845510.399998,2.760239839553833,26551385,104857,105018,1,1/1,1,农化制品
39,002412,汉森制药,10.0,6.71,247807566,3340539950.0,3376472000.0,7.689268112182617,42182415,105539,110109,3,1/1,1,中药Ⅱ
40,300834,星辉环材,20.01260757446289,38.08,221871275,7311293512.32,7376566402.24,3.2317230701446533,59106138,111112,111112,0,1/1,1,塑料
41,000506,招金黄金,9.966216087341309,13.02,1089691280,12091764632.22,12095811235.199999,9.288107872009277,41075496,112257,112257,0,1/1,1,贵金属
42,605155,西大门,9.991386413574219,12.77,41401709,2385799945.0,2442876737.0,1.8067243099212646,13845489,130242,130242,0,1/1,1,家居用品
43,603988,中电电机,10.007046699523926,15.61,210885417,3671472000.0,3671472000.0,5.9369797706604,26691539,130953,133620,1,1/1,1,电机Ⅱ
44,000839,国安股份,10.0,2.64,443642320,10348341569.28,10348341569.28,4.389852046966553,36150840,133539,142524,3,1/1,1,通信服务
45,600726,华电能源,10.0,6.6,2421314928,49337218972.799995,52188418867.2,5.1387104988098145,129876120,143628,143628,0,3/2,1,电力
46,600744,华银电力,9.972298622131348,7.94,2900445360,16127126735.560001,16127126719.68,18.972442626953125,25036145,144100,144336,1,4/4,4,电力
47,600644,乐山电力,9.95850658416748,10.6,899784864,6130200670.8,6130200649.599999,15.599034309387207,38243888,144735,144735,0,4/3,1,电力
