sector_name,change_pct,up_count,down_count,top_stock
贵金属,5.7,14,0,山金国际
油气开采及服务,4.03,17,1,中曼石油
煤炭开采加工,3.17,31,3,大有能源
电力,2.25,85,23,九洲集团
保险,2.11,5,0,中国太保
白酒,1.84,18,1,舍得酒业
教育,1.84,5,10,创业黑马
港口航运,1.37,24,8,海通发展
工业金属,1.12,31,23,盛达资源
石油加工贸易,1.07,16,11,荣盛石化
能源金属,1.04,8,4,*ST威领
种植业与林业,0.83,17,11,康农种业
农化制品,0.74,31,28,东方铁塔
银行,0.71,33,7,成都银行
小金属,0.45,14,15,长裕集团
房地产,0.45,38,40,*ST发展
旅游及酒店,0.34,17,14,陕西旅游
美容护理,0.31,15,16,爱美客
通信服务,0.3,18,25,美利云
机场航运,0.28,7,6,上海机场
钢铁,0.25,22,17,河钢资源
医疗服务,0.18,25,30,万邦医药
化学制药,0.08,63,91,莱美药业
化学原料,0.02,25,34,金牛化工
中药,0.01,29,38,汉森制药
家居用品,-0.07,32,65,天安新材
造纸,-0.11,13,10,景兴纸业
燃气,-0.2,10,16,凯添燃气
化学纤维,-0.3,8,21,桐昆股份
综合,-0.34,5,12,群兴玩具
养殖业,-0.37,16,17,神农集团
医药商业,-0.39,8,23,ST海王
环保设备,-0.4,6,23,龙源技术
农产品加工,-0.4,18,23,朗源股份
贸易,-0.5,3,10,凯瑞德
IT服务,-0.57,39,91,云创退
食品加工制造,-0.66,15,50,金字火腿
零售,-0.68,19,47,中国中免
公路铁路运输,-0.68,7,22,京沪高铁
汽车整车,-0.68,6,16,赛力斯
医疗器械,-0.73,33,106,五洲医疗
黑色家电,-0.86,2,7,辰奕智能
工程机械,-0.88,10,26,建设机械
半导体,-0.9,56,125,托伦斯
生物制品,-0.9,22,32,迈威生物
光伏设备,-0.9,20,47,阳光电源
饮料制造,-0.9,10,31,重庆啤酒
其他社会服务,-0.93,12,27,米奥会展
证券,-0.94,6,41,湘财股份
物流,-0.98,10,36,炬申股份
环境治理,-1.05,23,86,惠城环保
建筑装饰,-1.11,39,99,文科股份
互联网电商,-1.12,5,13,行云科技
计算机设备,-1.14,18,64,微创光电
电网设备,-1.16,28,112,日丰股份
通信设备,-1.17,24,65,锐捷网络
军工装备,-1.22,20,61,捷强装备
汽车服务及其他,-1.31,3,21,华洋赛车
其他电源设备,-1.37,7,28,中国动力
厨卫电器,-1.38,1,8,老板电器
包装印刷,-1.42,8,36,方大新材
风电设备,-1.44,3,28,明阳智能
建筑材料,-1.45,14,56,罗普斯金
软件开发,-1.48,32,106,绿盟科技
纺织制造,-1.53,7,26,云中马
轨交设备,-1.54,4,23,永贵电器
消费电子,-1.58,20,77,华勤技术
化学制品,-1.59,32,145,ST嘉澳
塑料制品,-1.64,11,65,星辉环材
多元金融,-1.65,4,21,翠微股份
金属新材料,-1.67,4,30,江南新材
文化传媒,-1.68,10,73,佳云科技
电机,-1.68,3,23,中电电机
专用设备,-1.69,34,164,津荣天宇
小家电,-1.71,3,22,鸿智科技
汽车零部件,-1.74,39,231,乔路铭
服装家纺,-1.84,14,58,红豆股份
通用设备,-1.87,36,211,同飞股份
军工电子,-1.93,11,51,华丰科技
白色家电,-1.96,8,36,宏昌科技
橡胶制品,-2.07,3,19,中裕科技
元件,-2.09,19,42,红板科技
其他电子,-2.15,7,27,润欣科技
非金属材料,-2.27,2,14,粤桂股份
影视院线,-2.31,2,17,北京文化
光学光电子,-2.56,14,93,腾景科技
自动化设备,-2.71,10,86,科瑞技术
电池,-2.75,8,98,ST天际
电子化学品,-2.89,5,38,莱尔科技
游戏,-3.32,1,23,吉比特
