sector_name,change_pct,up_count,down_count,top_stock
金属铅,2.54,0,0,
金属锌,2.43,0,0,
黄金概念,1.86,0,0,
煤炭概念,1.52,0,0,
金属铜,1.34,0,0,
可燃冰,1.31,0,0,
赛马概念,1.08,0,0,
俄乌冲突概念,1.02,0,0,
WiFi 6,0.97,0,0,
同花顺中特估100,0.77,0,0,
化肥,0.75,0,0,
玉米,0.7,0,0,
租售同权,0.65,0,0,
超超临界发电,0.65,0,0,
同花顺漂亮100,0.64,0,0,
小金属概念,0.58,0,0,
金属镍,0.56,0,0,
毛发医疗,0.55,0,0,
大豆,0.5,0,0,
页岩气,0.47,0,0,
仿制药一致性评价,0.47,0,0,
煤化工概念,0.46,0,0,
中国AI 50,0.43,0,0,
幽门螺杆菌概念,0.43,0,0,
证金持股,0.37,0,0,
转基因,0.37,0,0,
生物质能发电,0.36,0,0,
青蒿素,0.31,0,0,
国资云,0.3,0,0,
芬太尼,0.3,0,0,
草甘膦,0.3,0,0,
海南自贸区,0.29,0,0,
土地流转,0.27,0,0,
金属钴,0.25,0,0,
盐湖提锂,0.24,0,0,
免税店,0.23,0,0,
天然气,0.23,0,0,
超级品牌,0.21,0,0,
白酒概念,0.18,0,0,
航运概念,0.17,0,0,
天津自贸区,0.16,0,0,
黑龙江自贸区,0.16,0,0,
粮食概念,0.13,0,0,
猪肉,0.11,0,0,
减肥药,0.11,0,0,
碳交易,0.09,0,0,
民营医院,0.05,0,0,
生态农业,0.03,0,0,
医美概念,0.02,0,0,
农业种植,0.02,0,0,
养鸡,0.01,0,0,
流感,-0.02,0,0,
细胞免疫治疗,-0.02,0,0,
禽流感,-0.02,0,0,
抽水蓄能,-0.03,0,0,
重组蛋白,-0.03,0,0,
F5G概念,-0.06,0,0,
举牌,-0.06,0,0,
医药电商,-0.07,0,0,
眼科医疗,-0.07,0,0,
啤酒概念,-0.07,0,0,
环氧丙烷,-0.07,0,0,
中船系,-0.08,0,0,
中字头股票,-0.09,0,0,
星闪概念,-0.09,0,0,
新疆振兴,-0.1,0,0,
特色小镇,-0.11,0,0,
人造肉,-0.12,0,0,
财税数字化,-0.13,0,0,
肝炎概念,-0.17,0,0,
上海自贸区,-0.17,0,0,
固废处理,-0.17,0,0,
农村电商,-0.18,0,0,
磷化工,-0.2,0,0,
国产操作系统,-0.22,0,0,
动物疫苗,-0.22,0,0,
网络安全,-0.23,0,0,
算力租赁,-0.24,0,0,
CRO概念,-0.24,0,0,
预制菜,-0.26,0,0,
维生素,-0.29,0,0,
自由贸易港,-0.3,0,0,
信托概念,-0.31,0,0,
牙科医疗,-0.33,0,0,
托育服务,-0.33,0,0,
虚拟电厂,-0.33,0,0,
钒电池,-0.34,0,0,
物业管理,-0.37,0,0,
民爆概念,-0.37,0,0,
同花顺出海50,-0.38,0,0,
中韩自贸区,-0.4,0,0,
供销社,-0.44,0,0,
稀土永磁,-0.44,0,0,
华为海思概念股,-0.46,0,0,
PM2.5,-0.48,0,0,
6G概念,-0.49,0,0,
广东自贸区,-0.5,0,0,
华为欧拉,-0.5,0,0,
猴痘概念,-0.5,0,0,
水泥概念,-0.5,0,0,
阿尔茨海默概念,-0.51,0,0,
移动支付,-0.51,0,0,
智能音箱,-0.51,0,0,
特钢概念,-0.53,0,0,
兵装重组概念,-0.54,0,0,
生物疫苗,-0.54,0,0,
福建自贸区,-0.55,0,0,
统一大市场,-0.56,0,0,
合成生物,-0.57,0,0,
数字水印,-0.59,0,0,
铜缆高速连接,-0.59,0,0,
参股银行,-0.61,0,0,
辅助生殖,-0.61,0,0,
职业教育,-0.62,0,0,
家庭医生,-0.63,0,0,
化债概念(AMC概念),-0.63,0,0,
参股券商,-0.63,0,0,
跨境支付(CIPS),-0.64,0,0,
宠物经济,-0.65,0,0,
华为数字能源,-0.65,0,0,
丙烯酸,-0.66,0,0,
旅游概念,-0.67,0,0,
雄安新区,-0.67,0,0,
金属回收,-0.67,0,0,
高压氧舱,-0.67,0,0,
期货概念,-0.68,0,0,
净水概念,-0.68,0,0,
在线教育,-0.68,0,0,
消毒剂,-0.7,0,0,
上海国企改革,-0.7,0,0,
光伏建筑一体化,-0.71,0,0,
英伟达概念,-0.71,0,0,
冰雪产业,-0.72,0,0,
参股保险,-0.72,0,0,
数据安全,-0.73,0,0,
云办公,-0.73,0,0,
PPP概念,-0.77,0,0,
注册制次新股,-0.77,0,0,
垃圾分类,-0.8,0,0,
量子科技,-0.81,0,0,
汽车芯片,-0.81,0,0,
可降解塑料,-0.82,0,0,
蚂蚁集团概念,-0.84,0,0,
无人零售,-0.84,0,0,
独角兽概念,-0.87,0,0,
摘帽,-0.88,0,0,
国产航母,-0.88,0,0,
工业大麻,-0.9,0,0,
地下管网,-0.9,0,0,
MCU芯片,-0.91,0,0,
换电概念,-0.92,0,0,
土壤修复,-0.94,0,0,
冷链物流,-0.94,0,0,
光热发电,-0.95,0,0,
数字货币,-0.97,0,0,
足球概念,-0.97,0,0,
安防,-0.98,0,0,
华为鲲鹏,-0.99,0,0,
乳业,-0.99,0,0,
体育产业,-0.99,0,0,
国家大基金持股,-1.0,0,0,
知识产权保护,-1.0,0,0,
2026一季报预增,-1.0,0,0,
雅下水电概念,-1.0,0,0,
装配式建筑,-1.0,0,0,
智能座舱,-1.01,0,0,
POE胶膜,-1.04,0,0,
EDR概念,-1.04,0,0,
NMN概念,-1.06,0,0,
石墨电极,-1.07,0,0,
智谱AI,-1.08,0,0,
互联网保险,-1.09,0,0,
脑机接口,-1.09,0,0,
ETC,-1.1,0,0,
基因测序,-1.12,0,0,
新型烟草(电子烟),-1.12,0,0,
深圳国企改革,-1.13,0,0,
数字乡村,-1.13,0,0,
共享单车,-1.15,0,0,
烟草,-1.17,0,0,
ChatGPT概念,-1.18,0,0,
硅能源,-1.18,0,0,
华为盘古,-1.19,0,0,
C2M概念,-1.19,0,0,
建筑节能,-1.21,0,0,
TOPCON电池,-1.21,0,0,
华为昇腾,-1.22,0,0,
代糖概念,-1.23,0,0,
华为手机,-1.24,0,0,
成飞概念,-1.25,0,0,
ERP概念,-1.26,0,0,
文化传媒概念,-1.27,0,0,
横琴新区,-1.27,0,0,
电力物联网,-1.27,0,0,
露营经济,-1.28,0,0,
高压快充,-1.29,0,0,
AI眼镜,-1.29,0,0,
超导概念,-1.29,0,0,
特高压,-1.33,0,0,
空气能热泵,-1.34,0,0,
食品安全,-1.34,0,0,
语音技术,-1.35,0,0,
中俄贸易概念,-1.35,0,0,
房屋检测,-1.36,0,0,
无线耳机,-1.37,0,0,
高铁,-1.37,0,0,
人脸识别,-1.37,0,0,
AI PC,-1.39,0,0,
DRG/DIP,-1.39,0,0,
网约车,-1.4,0,0,
多模态AI,-1.4,0,0,
时空大数据,-1.41,0,0,
一体化压铸,-1.42,0,0,
核污染防治,-1.42,0,0,
网红经济,-1.43,0,0,
钛白粉概念,-1.43,0,0,
柔性直流输电,-1.45,0,0,
HJT电池,-1.45,0,0,
NFT概念,-1.47,0,0,
毫米波雷达,-1.47,0,0,
MLOps概念,-1.47,0,0,
快手概念,-1.49,0,0,
IP经济(谷子经济),-1.49,0,0,
长三角一体化,-1.5,0,0,
小米汽车,-1.5,0,0,
动力电池回收,-1.5,0,0,
氟化工概念,-1.5,0,0,
可控核聚变,-1.5,0,0,
数据确权,-1.51,0,0,
华为汽车,-1.53,0,0,
小红书概念,-1.56,0,0,
共同富裕示范区,-1.57,0,0,
Web3.0,-1.57,0,0,
新股与次新股,-1.57,0,0,
智慧灯杆,-1.58,0,0,
钙钛矿电池,-1.59,0,0,
虚拟数字人,-1.61,0,0,
军工信息化,-1.61,0,0,
家用电器,-1.62,0,0,
碳纤维,-1.62,0,0,
染料,-1.64,0,0,
BC电池,-1.65,0,0,
血氧仪,-1.66,0,0,
汽车拆解概念,-1.66,0,0,
AI语料,-1.67,0,0,
农机,-1.72,0,0,
电子身份证,-1.72,0,0,
汽车热管理,-1.75,0,0,
富士康概念,-1.76,0,0,
苹果概念,-1.79,0,0,
元宇宙,-1.83,0,0,
无线充电,-1.84,0,0,
飞行汽车(eVTOL),-1.85,0,0,
大飞机,-1.85,0,0,
PVDF概念,-1.86,0,0,
MR(混合现实),-1.86,0,0,
短剧游戏,-1.87,0,0,
第三代半导体,-1.88,0,0,
石墨烯,-1.88,0,0,
拼多多概念,-1.89,0,0,
两轮车,-1.9,0,0,
钠离子电池,-1.92,0,0,
网络游戏,-1.94,0,0,
先进封装,-1.94,0,0,
航空发动机,-1.96,0,0,
空间计算,-1.96,0,0,
AI手机,-2.03,0,0,
同花顺新质50,-2.04,0,0,
光刻机,-2.08,0,0,
培育钻石,-2.12,0,0,
太赫兹,-2.12,0,0,
超级电容,-2.13,0,0,
3D打印,-2.15,0,0,
AI视频,-2.16,0,0,
减速器,-2.17,0,0,
工业母机,-2.18,0,0,
OLED,-2.2,0,0,
玻璃基板,-2.22,0,0,
PEEK材料,-2.22,0,0,
电子竞技,-2.25,0,0,
柔性屏(折叠屏),-2.25,0,0,
云游戏,-2.25,0,0,
光纤概念,-2.25,0,0,
电子纸,-2.44,0,0,
手机游戏,-2.45,0,0,
有机硅概念,-2.46,0,0,
中芯国际概念,-2.5,0,0,
MiniLED,-2.64,0,0,
PET铜箔,-2.65,0,0,
MicroLED概念,-2.73,0,0,
光刻胶,-2.79,0,0,
科创次新股,-2.91,0,0,
同花顺果指数,-3.35,0,0,
