date,open,high,low,close,volume,amount,outstanding_share,turnover
2026-01-16,352.47,356.14,346.09,346.88,31981842.0,11350569563.0,4256573358.0,0.007513518342140598
2026-01-19,346.05,349.86,340.0,343.52,33864284.0,11842421264.0,4256573358.0,0.007955761865669226
2026-01-20,344.6,351.4,342.53,344.21,35440589.0,12466608900.0,4256573358.0,0.008326084392129956
2026-01-21,346.51,352.17,343.61,344.41,39393573.0,13919426405.0,4256573358.0,0.009254761914524956
2026-01-22,345.61,348.27,334.26,340.46,45994818.0,15851213229.0,4256573358.0,0.010805597397623894
2026-01-23,342.64,344.6,337.95,341.65,33976127.0,11775914386.0,4256573358.0,0.007982037226292295
2026-01-26,346.59,347.11,335.95,336.77,33291386.0,11468681279.0,4256573358.0,0.007821170505009772
2026-01-27,339.57,339.58,328.87,334.16,32294885.0,10953698562.0,4256573358.0,0.007587061771014355
2026-01-28,332.67,338.69,327.87,334.74,46308171.0,15638344009.0,4256573358.0,0.010879213655032232
2026-01-29,335.25,339.83,332.94,336.61,33844419.0,11569006794.0,4256573358.0,0.007951094966187119
2026-01-30,343.02,348.3,338.79,344.6,48650115.0,17048600000.0,4256619589.9999995,0.011429284194033417
2026-02-02,351.49,352.47,338.82,343.6,39191747.0,13766144458.0,4256619589.9999995,0.009207246776778567
2026-02-03,343.61,347.36,338.2,342.54,26516325.0,9220045792.0,4256619589.9999995,0.006229432637648506
2026-02-04,345.54,360.99,342.15,359.4,48531685.0,17369398062.0,4256619589.9999995,0.011401461646705434
2026-02-05,360.13,361.09,350.53,357.34,28427157.0,10268243283.0,4256619589.9999995,0.006678340969623739
2026-02-06,353.78,367.13,352.49,363.41,39372618.0,14514523059.0,4256619589.9999995,0.009249738476160141
2026-02-09,364.78,366.75,357.01,363.13,27448630.0,10080946319.0,4256628798.0,0.0064484434284936675
2026-02-10,359.54,365.08,358.38,359.34,18563499.0,6798020174.0,4256628798.0,0.0043610800661599055
2026-02-11,361.24,365.27,358.88,362.32,19653459.0,7239804071.0,4256628798.0,0.0046171418586545025
2026-02-12,364.29,372.05,362.35,370.07,27754580.0,10410892196.0,4256628798.0,0.0065203195573550225
2026-02-13,369.81,371.18,359.38,359.7,22314532.0,8229700941.0,4256628798.0,0.005242301609782042
2026-02-24,366.89,367.74,356.37,356.37,22695131.0,8316534693.0,4256628798.0,0.005331714856288016
2026-02-25,358.08,360.94,354.54,356.59,18716639.0,6802110619.0,4256628798.0,0.004397056893660569
2026-02-26,350.56,352.67,338.2,340.66,43541381.0,15108143010.0,4256628798.0,0.010229076357435292
2026-02-27,341.76,343.56,336.73,336.73,25446620.0,8775054149.0,4256638826.0,0.005978101746516373
2026-03-02,335.74,339.58,331.48,334.97,28351326.0,9643254984.0,4256638826.0,0.006660496029596663
2026-03-03,340.99,348.88,338.72,338.76,40007479.0,13919957238.0,4256638826.0,0.009398842757254876
2026-03-04,335.84,336.74,329.04,333.67,25080441.0,8468604902.0,4256638826.0,0.005892076360062784
2026-03-05,339.26,348.39,337.37,344.85,31006068.0,10819502021.0,4256638826.0,0.007284166984196935
2026-03-06,343.61,351.51,339.34,349.3,20963113.0,7388868682.0,4256638826.0,0.00492480425446366
2026-03-09,343.46,354.3,339.74,351.98,31797613.0,11217996825.0,4256638826.0,0.007470122389942228
2026-03-10,369.21,373.91,360.84,370.49,50741728.0,19049080513.0,4256638826.0,0.01192060921167757
2026-03-11,373.72,397.32,373.13,390.68,57598685.0,22642696276.0,4256638826.0,0.0135314945323012
2026-03-12,393.83,394.71,386.64,389.4,29150375.0,11537671607.0,4256638826.0,0.006848214328626245
2026-03-13,387.8,397.76,387.72,390.87,35582639.0,14201304444.0,4256638826.0,0.008359327735925699
2026-03-16,395.57,406.79,391.86,402.1,37352104.0,15195015005.0,4256638826.0,0.008775023093772814
2026-03-17,409.36,413.52,398.32,398.75,35980678.0,14787230790.0,4256638826.0,0.008452837901168925
2026-03-18,399.11,399.74,390.65,395.82,26529996.0,10653633584.0,4256638826.0,0.006232616175455615
2026-03-19,395.74,407.61,393.83,394.32,29286635.0,11867380765.0,4256638826.0,0.006880225501189844
2026-03-20,398.83,415.57,393.96,406.63,53729677.0,22252017693.0,4256638826.0,0.012622559534958298
2026-03-23,410.89,410.92,392.6,395.79,44614145.0,18193336487.0,4256638826.0,0.010481073641365126
2026-03-24,398.75,405.54,382.01,390.86,36410525.0,14439124610.0,4256638826.0,0.008553820628990334
2026-03-25,386.94,394.32,381.82,391.67,26752828.0,10553996247.0,4256638826.0,0.006284965460680126
2026-03-26,387.76,407.34,385.95,396.29,26763697.0,10811439764.0,4256638826.0,0.006287518883802053
2026-03-27,399.85,411.88,395.53,409.76,30258043.0,12465856864.0,4256827549.0,0.007108120461001085
2026-03-30,406.63,412.39,399.34,406.63,25348419.0,10440376424.0,4256827549.0,0.005954767654601081
2026-03-31,406.63,410.52,395.38,395.5,24925645.0,10159878346.0,4259870598.0,0.0058512681140367355
2026-04-01,403.41,403.55,389.89,399.45,23170073.0,9384266504.0,4259870598.0,0.005439149492211876
2026-04-02,401.61,405.63,391.07,394.98,22305638.0,8988161794.0,4259870598.0,0.005236224314060725
2026-04-03,393.83,394.62,379.19,380.5,24751501.0,9640031385.0,4259870598.0,0.005810387999020622
2026-04-07,383.96,387.13,375.6,378.66,17257622.0,6675632984.0,4259870598.0,0.004051208036249368
2026-04-08,390.38,391.51,382.23,385.26,36418443.0,14315333338.0,4259870598.0,0.008549189972366386
2026-04-09,388.02,388.2,380.69,383.97,25955199.0,10132744607.0,4259870598.0,0.0060929547982480755
2026-04-10,387.92,412.53,386.62,409.58,50788702.0,20752496341.0,4259870598.0,0.011922592677778801
2026-04-13,411.55,426.64,409.58,420.54,41239924.0,17625505878.0,4259870598.0,0.00968102740476719
2026-04-14,415.0,425.82,408.01,424.14,44220826.0,18663656303.0,4259870598.0,0.010380790914344108
2026-04-15,432.11,432.68,420.48,424.35,37353628.0,16122379460.0,4259887497.0,0.008768688850657692
2026-04-16,434.2,452.9,426.34,446.98,63506218.0,28517416468.0,4259887497.0,0.014907956617334113
2026-04-17,448.92,450.58,434.21,437.35,36535848.0,16290232436.0,4259887497.0,0.008576716644683726
2026-04-20,426.32,431.14,419.44,425.83,52927821.0,22768028850.0,4259887497.0,0.012424699252568078
2026-04-21,428.29,443.18,418.54,440.69,57774562.0,25412275749.0,4259887497.0,0.013562461929026855
2026-04-22,441.01,447.97,433.13,436.35,46025432.0,20173924648.0,4259887497.0,0.010804377353254782
2026-04-23,443.5,443.6,435.0,438.9,35430966.0,15566836621.0,4259887497.0,0.00831734782314135
2026-04-24,442.0,448.45,438.0,444.9,39542497.0,17517374359.0,4259887497.0,0.009282521434626517
2026-04-27,444.63,448.76,433.8,434.88,33061283.0,14514326132.0,4259887497.0,0.007761069517277911
2026-04-28,426.19,433.3,423.0,427.67,35012113.0,14992134063.0,4259887497.0,0.008219022925994423
2026-04-29,432.0,445.15,428.0,445.0,37633560.0,16473164318.0,4259915189.9999995,0.0088343448922043
2026-04-30,446.5,449.5,436.0,436.0,29812094.0,13127297982.0,4259915189.9999995,0.0069982834564366065
2026-05-06,457.5,465.88,448.63,460.0,47372718.0,21679900613.0,4259915189.9999995,0.01112057773150174
2026-05-07,468.75,468.75,447.0,451.64,38621274.0,17551196925.0,4259915189.9999995,0.009066207254703586
2026-05-08,449.0,455.5,436.2,437.0,36604851.0,16224287222.0,4259931621.0,0.008592825955128166
2026-05-11,440.0,450.51,435.1,446.11,34190101.0,15198345088.0,4259931621.0,0.00802597413335335
2026-05-12,446.59,446.85,429.29,431.25,34151497.0,14869224128.0,4259931621.0,0.008016912016062616
2026-05-13,431.01,436.58,427.08,434.05,31685823.0,13668347814.0,4259931621.0,0.007438106011796005
2026-05-14,449.38,450.45,427.0,427.0,34704614.0,15157645640.0,4259931621.0,0.008146753771567171
2026-05-15,428.08,431.5,421.0,423.6,29704893.0,12638150862.0,4259931621.0,0.006973091505404706
2026-05-18,420.58,422.9,414.0,417.23,28498347.0,11894351176.0,4259931621.0,0.006689860198579934
2026-05-19,415.86,419.9,406.8,417.92,26087668.0,10805349153.0,4259931621.0,0.006123964025947448
2026-05-20,417.0,422.99,412.66,414.75,28119031.0,11734883868.0,4259931621.0,0.006600817454764493
2026-05-21,419.87,427.62,411.42,411.63,33867172.0,14239107293.0,4259931621.0,0.007950167986980465
2026-05-22,414.7,416.5,410.0,411.16,27788381.0,11472585703.0,4259931621.0,0.006523198837984353
2026-05-25,411.28,414.5,400.0,402.88,38197710.0,15479408962.0,4259931621.0,0.008966742520395962
2026-05-26,406.19,408.77,400.36,402.5,35062703.0,14152427064.0,4259931621.0,0.00823081357154958
2026-05-27,413.92,428.9,411.29,414.8,53372888.0,22373358897.0,4259931621.0,0.012529048057224672
2026-05-28,420.0,420.58,406.2,415.68,32777149.0,13502296107.0,4259931621.0,0.007694289936115386
2026-05-29,423.0,430.86,416.55,424.0,49811891.0,21139031904.0,4260049539.0,0.011692796185579757
2026-06-01,432.1,438.24,418.18,420.1,38600452.0,16554495936.0,4260049539.0,0.009061033597525026
2026-06-02,425.0,437.75,423.0,433.89,38798160.0,16719046201.0,4260049539.0,0.009107443386469972
2026-06-03,437.0,437.0,420.1,426.42,38552608.0,16460790913.0,4260049539.0,0.009049802742211727
2026-06-04,426.42,426.9,407.18,408.2,43115462.0,17788218035.0,4260049539.0,0.010120882775020707
2026-06-05,407.89,412.65,402.7,403.0,28738930.0,11711423570.0,4260049539.0,0.006746149249416041
2026-06-08,395.8,402.68,390.7,393.02,28652636.0,11335280870.0,4260049539.0,0.006725892677465411
2026-06-09,399.99,401.87,388.0,399.5,27735147.0,10926469617.0,4260049539.0,0.006510522177286822
2026-06-10,395.28,399.0,385.12,388.5,24435715.0,9535581227.0,4260049539.0,0.005736016629923044
2026-06-11,386.98,391.34,380.03,382.2,26865447.0,10301875916.0,4260049539.0,0.006306369621773546
2026-06-12,389.99,399.54,383.3,394.85,41420838.0,16278999883.0,4260049539.0,0.009723088339888903
2026-06-15,402.0,407.9,393.41,398.1,34074882.0,13613555701.0,4260049539.0,0.007998705575616077
2026-06-16,408.88,409.02,398.5,403.53,34839262.0,14107808735.0,4260049539.0,0.00817813541393186
2026-06-17,400.0,403.3,395.58,399.0,25009264.0,9965557906.0,4260049539.0,0.0058706509797702144
2026-06-18,400.39,409.89,389.92,391.55,38548105.0,15327443707.0,4260049539.0,0.009048745712250273
2026-06-22,393.0,413.33,386.0,408.98,59464844.0,23926025746.0,4260049539.0,0.013958721243875188
2026-06-23,411.0,414.04,390.73,392.51,37374094.0,14957779394.0,4260049539.0,0.00877315948038791
2026-06-24,392.0,399.27,386.66,395.36,34427057.0,13521407676.0,4260049539.0,0.00808137480205955
2026-06-25,399.88,402.55,392.58,401.9,32404638.0,12900279038.0,4260049539.0,0.0076066340786277884
2026-06-26,401.0,409.81,381.0,381.0,46525303.0,18133875467.0,4260049539.0,0.01092130562662924
2026-06-29,386.96,396.0,378.2,392.36,42525908.0,16529881653.0,4260049539.0,0.009982491426609676
2026-06-30,392.49,402.36,390.0,393.01,27038346.0,10665434439.0,4260073229.9999995,0.006346920473007926
2026-07-01,390.0,391.0,370.0,383.84,44088579.0,16758898184.0,4260073229.9999995,0.01034925378501064
