sector_name,change_pct,up_count,down_count,top_stock
可燃冰,-0.54,0,0,
超超临界发电,-0.64,0,0,
同花顺中特估100,-0.8,0,0,
信托概念,-1.08,0,0,
航运概念,-1.29,0,0,
供销社,-1.34,0,0,
抽水蓄能,-1.5,0,0,
化肥,-1.61,0,0,
水泥概念,-1.63,0,0,
煤炭概念,-1.64,0,0,
煤化工概念,-1.69,0,0,
证金持股,-1.73,0,0,
生物质能发电,-1.83,0,0,
环氧丙烷,-1.93,0,0,
参股券商,-1.95,0,0,
期货概念,-1.97,0,0,
页岩气,-1.98,0,0,
草甘膦,-2.04,0,0,
同花顺漂亮100,-2.05,0,0,
参股保险,-2.14,0,0,
天然气,-2.15,0,0,
自由贸易港,-2.18,0,0,
天津自贸区,-2.2,0,0,
中韩自贸区,-2.27,0,0,
碳交易,-2.27,0,0,
化债概念(AMC概念),-2.28,0,0,
玉米,-2.28,0,0,
中字头股票,-2.3,0,0,
超级品牌,-2.31,0,0,
黑龙江自贸区,-2.33,0,0,
俄乌冲突概念,-2.41,0,0,
免税店,-2.46,0,0,
虚拟电厂,-2.5,0,0,
雅下水电概念,-2.58,0,0,
特钢概念,-2.6,0,0,
农村电商,-2.64,0,0,
生态农业,-2.67,0,0,
乳业,-2.67,0,0,
石墨电极,-2.7,0,0,
跨境支付(CIPS),-2.74,0,0,
赛马概念,-2.78,0,0,
中船系,-2.78,0,0,
上海国企改革,-2.8,0,0,
参股银行,-2.8,0,0,
猪肉,-2.81,0,0,
国资云,-2.87,0,0,
大豆,-2.89,0,0,
统一大市场,-2.9,0,0,
粮食概念,-2.92,0,0,
预制菜,-2.96,0,0,
新疆振兴,-2.97,0,0,
民爆概念,-2.98,0,0,
养鸡,-2.99,0,0,
托育服务,-3.03,0,0,
兵装重组概念,-3.05,0,0,
农业种植,-3.08,0,0,
转基因,-3.1,0,0,
白酒概念,-3.11,0,0,
光伏建筑一体化,-3.14,0,0,
举牌,-3.15,0,0,
POE胶膜,-3.17,0,0,
固废处理,-3.21,0,0,
啤酒概念,-3.25,0,0,
雄安新区,-3.26,0,0,
硅能源,-3.27,0,0,
无人零售,-3.29,0,0,
净水概念,-3.3,0,0,
地下管网,-3.31,0,0,
光热发电,-3.33,0,0,
中俄贸易概念,-3.34,0,0,
深圳国企改革,-3.4,0,0,
钒电池,-3.44,0,0,
数字货币,-3.45,0,0,
互联网保险,-3.46,0,0,
PPP概念,-3.48,0,0,
共享单车,-3.52,0,0,
磷化工,-3.53,0,0,
网约车,-3.53,0,0,
装配式建筑,-3.54,0,0,
盐湖提锂,-3.57,0,0,
物业管理,-3.58,0,0,
房屋检测,-3.61,0,0,
钛白粉概念,-3.61,0,0,
冰雪产业,-3.62,0,0,
垃圾分类,-3.62,0,0,
土地流转,-3.63,0,0,
移动支付,-3.67,0,0,
高压氧舱,-3.67,0,0,
氟化工概念,-3.67,0,0,
可降解塑料,-3.67,0,0,
网红经济,-3.67,0,0,
芬太尼,-3.68,0,0,
体育产业,-3.69,0,0,
国产航母,-3.7,0,0,
冷链物流,-3.72,0,0,
特色小镇,-3.73,0,0,
ETC,-3.73,0,0,
电力物联网,-3.74,0,0,
租售同权,-3.75,0,0,
同花顺出海50,-3.75,0,0,
电子竞技,-3.76,0,0,
NFT概念,-3.78,0,0,
建筑节能,-3.79,0,0,
广东自贸区,-3.8,0,0,
高铁,-3.81,0,0,
禽流感,-3.82,0,0,
染料,-3.84,0,0,
旅游概念,-3.84,0,0,
职业教育,-3.85,0,0,
空气能热泵,-3.88,0,0,
汽车拆解概念,-3.93,0,0,
动力电池回收,-3.96,0,0,
特高压,-3.96,0,0,
代糖概念,-3.97,0,0,
金属铜,-3.98,0,0,
IP经济(谷子经济),-3.99,0,0,
两轮车,-3.99,0,0,
土壤修复,-4.0,0,0,
消毒剂,-4.0,0,0,
PVDF概念,-4.04,0,0,
动物疫苗,-4.08,0,0,
数字乡村,-4.09,0,0,
电子身份证,-4.11,0,0,
民营医院,-4.13,0,0,
钠离子电池,-4.15,0,0,
文化传媒概念,-4.16,0,0,
共同富裕示范区,-4.17,0,0,
新股与次新股,-4.19,0,0,
黄金概念,-4.19,0,0,
长三角一体化,-4.21,0,0,
丙烯酸,-4.23,0,0,
柔性直流输电,-4.24,0,0,
金属锌,-4.24,0,0,
数据确权,-4.25,0,0,
宠物经济,-4.27,0,0,
上海自贸区,-4.28,0,0,
知识产权保护,-4.28,0,0,
海南自贸区,-4.29,0,0,
横琴新区,-4.29,0,0,
烟草,-4.32,0,0,
拼多多概念,-4.32,0,0,
