序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002432,九安医疗,10.0,79.2,3594431328,36849567744.0,36898795929.6,9.810508728027344,409388760,092500,135900,2,4/3,1,医疗器械
2,002677,浙江美大,9.95850658416748,7.95,54576742,4384503307.5,5136110601.6,1.2447645664215088,90706327,092500,092500,0,6/4,3,厨卫电器
3,300577,开润股份,19.976428985595703,20.36,344340544,2894475144.7599998,4883065988.92,11.907305717468262,37032763,092500,130233,2,1/1,1,服装家纺
4,603580,艾艾精工,9.990205764770508,44.92,12290112,5869840144.0,5869840144.0,0.20937728881835938,191597276,092503,092503,0,7/6,4,塑料
5,002766,索菱股份,10.055866241455078,3.94,117187018,3376493674.6,3387792546.56,3.475001335144043,35043148,093000,093000,0,1/1,1,汽车零部
6,003001,中岩大地,10.011248588562012,19.56,113759337,2237010343.92,3414205706.64,5.085329055786133,84874419,093000,093000,0,6/3,1,专业工程
7,002632,道明光学,9.968847274780273,10.59,762034208,6083168808.99,6614504341.92,12.632813453674316,56776167,093009,102136,2,2/2,2,塑料
8,000676,智度股份,9.967845916748047,6.84,1722939792,8611755158.88,8616958237.44,20.424060821533203,65497924,093103,140436,3,3/3,3,广告营销
9,603161,科华控股,10.0,13.31,66029121,2538865862.5,2587566553.55,2.614213228225708,18035875,093302,095305,2,1/1,1,汽车零部
10,603567,珍宝岛,10.03649616241455,6.03,610427920,5664601850.76,5669618738.400001,11.121881484985352,31019942,093646,142110,1,2/2,2,中药Ⅱ
11,300795,米奥会展,20.045818328857422,10.48,168320771,1823364487.28,3132407778.56,9.43790054321289,68491652,093839,093839,0,1/1,1,专业服务
12,600722,金牛化工,10.064516067504883,8.53,410446560,5803126836.28,5803126870.4,7.242751598358154,92155467,093849,093849,0,1/1,1,化学原料
13,600227,赤天化,10.071942329406738,3.06,752820192,3909455397.1800003,5167506700.8,19.806659698486328,32425902,093934,141746,1,4/3,1,农化制品
14,600992,贵绳股份,10.046948432922363,11.72,306349504,2872454800.0,2872454800.0,10.888836860656738,18264448,094006,132703,1,7/4,1,通用设备
15,600744,华银电力,9.963099479675293,5.96,500534528,12105500673.039999,12105500661.12,4.207106113433838,179936971,094318,094318,0,1/1,1,电力
16,001388,信通电子,10.004446983337402,24.74,457437344,3095433471.2799997,3907682999.9999995,15.300660133361816,20713020,094524,135800,7,5/4,1,电网设备
17,600644,乐山电力,10.01220989227295,9.01,387549168,5210670570.18,5210670552.16,7.558535575866699,63540276,094528,094855,1,1/1,1,电力
18,001258,立新能源,9.973404884338379,8.27,460356624,7718586039.679999,7718666622.559999,6.149725437164307,80677158,094600,094624,1,2/2,2,电力
19,920305,云创退,29.487180709838867,2.02,33161635,163823767.5,267399772.5,20.808202743530273,5985449,094707,101034,4,5/5,5,IT服务Ⅱ
20,603118,共进股份,10.00735855102539,14.95,1784261520,11769782269.699999,11769782180.0,15.574666976928711,85886255,095016,105043,1,1/1,1,通信设备
21,601369,陕鼓动力,9.953703880310059,9.5,316468288,16209007274.0,16373007712.0,1.9895786046981812,36648150,095202,100929,2,1/1,1,专用设备
22,000037,深南电A,10.047846794128418,9.2,326741488,3117954979.9999995,5545415846.4,10.658965110778809,33258000,100009,100009,0,1/1,1,电力
23,605011,杭州热电,10.0,18.48,261492381,7393848000.0,7393848000.0,3.648534059524536,24454584,101056,101323,1,1/1,1,电力
24,000779,甘咨询,9.982014656066895,12.23,1187310256,5684173851.150001,5684864246.88,21.508928298950195,4246256,101854,150000,9,1/1,1,工程咨询
25,600236,桂冠电力,10.051814079284668,10.62,387794576,83710852257.23999,83710851471.36,0.4735569655895233,60427800,102143,102234,1,1/1,1,电力
26,600095,湘财股份,10.0,8.69,979880112,24846341486.67,24846341495.359997,4.032670974731445,51585578,103444,144659,3,1/1,1,证券Ⅱ
27,000899,赣能股份,9.969167709350586,10.7,397280432,10439752032.0,10439752032.0,3.906256914138794,77406421,110854,110854,0,1/1,1,电力
28,600982,宁波能源,9.935205459594727,5.09,464268352,5688723898.65,5688723913.92,8.397068977355957,63621437,111748,142306,1,1/1,1,电力
29,600881,亚泰集团,10.059171676635742,1.86,551282064,6011800837.68,6011800845.12,9.418584823608398,32486038,130159,130159,0,1/1,1,综合Ⅱ
30,002829,星网宇达,9.978768348693848,20.72,561158064,3026208297.2799997,4305810643.679999,20.196699142456055,22547504,140924,141227,1,7/4,2,航天装备
31,600162,香江控股,10.071942329406738,3.06,1115651152,10001420653.32,10001420671.68,11.604716300964355,30148350,142721,142721,0,3/3,3,房地产开
32,001369,双欣材料,10.02548885345459,12.95,269360560,2686521957.35,14853650000.0,10.499621391296387,27654932,142748,142954,1,1/1,1,化学纤维
33,000722,湖南发展,10.023866653442383,13.83,730235200,6419309040.06,7901836662.72,11.875533103942871,39493805,145354,145354,0,3/2,1,电力
