date,open,high,low,close,volume,amount,outstanding_share,turnover
2026-01-16,1362.75,1365.19,1348.09,1350.05,5512068.0,7643061998.0,1252270215.0,0.004401660227940501
2026-01-19,1349.95,1355.41,1343.21,1344.19,4228640.0,5833745442.0,1252270215.0,0.0033767791881882296
2026-01-20,1347.61,1349.64,1340.33,1341.79,3648443.0,5021900765.0,1252270215.0,0.0029134630499855815
2026-01-21,1341.8,1342.62,1318.79,1319.82,6451625.0,8775880803.0,1252270215.0,0.005151943185041736
2026-01-22,1320.75,1330.28,1306.56,1309.08,5901089.0,7962441434.0,1252270215.0,0.004712312829384032
2026-01-23,1309.12,1316.83,1301.66,1306.09,6194890.0,8301311489.0,1252270215.0,0.00494692752873628
2026-01-26,1309.52,1323.67,1294.48,1310.97,8016606.0,10751225525.0,1252270215.0,0.006401658287464739
2026-01-27,1313.88,1322.4,1307.06,1311.96,4841596.0,6514513216.0,1252270215.0,0.0038662550158952715
2026-01-28,1311.99,1315.57,1291.44,1293.09,7621801.0,10135019524.0,1252270215.0,0.006086386874577225
2026-01-29,1304.13,1411.59,1298.33,1404.48,18953440.0,26305591086.0,1252270215.0,0.015135263757750558
2026-01-30,1401.82,1401.82,1368.61,1368.61,9447974.0,13366329414.0,1252270215.0,0.007544676769302542
2026-02-02,1392.05,1424.86,1378.98,1394.01,8572427.0,12312646443.0,1252270215.0,0.006845508978267921
2026-02-03,1411.59,1442.67,1409.67,1440.82,8632066.0,12628439703.0,1252270215.0,0.006893133683611568
2026-02-04,1450.67,1497.82,1439.92,1489.74,10912293.0,16444345980.0,1252270215.0,0.008714008262186448
2026-02-05,1484.86,1528.82,1479.97,1519.05,9162274.0,14183456476.0,1252270215.0,0.007316531121040837
2026-02-06,1519.05,1531.75,1471.06,1479.98,7896538.0,12019878669.0,1252270215.0,0.006305778022517289
2026-02-09,1482.9,1507.21,1478.5,1489.7,5116846.0,7809067705.0,1252270215.0,0.004086055819829589
2026-02-10,1489.71,1489.71,1461.9,1470.01,3957596.0,5953269321.0,1252270215.0,0.0031603370842769743
2026-02-11,1470.01,1479.0,1461.41,1469.55,3092846.0,4648360030.0,1252270215.0,0.002469791234314393
2026-02-12,1465.51,1468.07,1439.3,1452.23,4624582.0,6874370113.0,1252270215.0,0.0036929585520805506
2026-02-13,1452.23,1472.94,1436.58,1450.96,4167901.0,6216379203.0,1252270215.0,0.0033282760781785424
2026-02-24,1485.83,1489.16,1429.76,1432.89,4191253.0,6198840572.0,1252270215.0,0.0033469238106888935
2026-02-25,1436.01,1474.76,1433.94,1457.17,3688067.0,5490316149.0,1252270215.0,0.0029451047831557664
2026-02-26,1452.23,1455.05,1430.81,1432.31,3295801.0,4855471430.0,1252270215.0,0.0026318608879474146
2026-02-27,1433.07,1442.08,1421.38,1421.38,3216016.0,4697692477.0,1252270215.0,0.002568148600420078
2026-03-02,1416.48,1423.31,1403.44,1406.81,3545386.0,5115063511.0,1252270215.0,0.0028311669139236056
2026-03-03,1406.8,1419.28,1389.25,1393.22,4589086.0,6565381648.0,1252270215.0,0.0036646132320571085
2026-03-04,1382.28,1390.1,1359.9,1368.78,4801443.0,6743267103.0,1252270215.0,0.0038341908499356907
2026-03-05,1373.49,1380.29,1362.75,1366.69,3050524.0,4276226062.0,1252270215.0,0.0024359950140633185
2026-03-06,1362.75,1374.96,1355.91,1369.59,2915415.0,4072328833.0,1252270215.0,0.0023281037631323045
2026-03-09,1357.86,1372.42,1351.22,1364.7,3744162.0,5220095639.0,1252270215.0,0.0029898994283753685
2026-03-10,1372.42,1376.9,1365.68,1369.47,2462592.0,3457808916.0,1252270215.0,0.0019665020939590105
2026-03-11,1370.55,1373.48,1365.7,1367.63,2445673.0,3425363892.0,1252270215.0,0.0019529914316456054
2026-03-12,1362.75,1371.49,1358.85,1359.82,2758646.0,3850521717.0,1252270215.0,0.0022029159257772493
2026-03-13,1360.29,1384.84,1359.82,1380.96,3360783.0,4738808558.0,1252270215.0,0.0026837522443189307
2026-03-16,1387.17,1432.11,1387.17,1426.42,6008635.0,8711525836.0,1252270215.0,0.004798193655033151
2026-03-17,1434.06,1463.43,1427.41,1450.67,4945361.0,7347310632.0,1252270215.0,0.003949116525142299
2026-03-18,1454.57,1461.9,1429.32,1434.84,3555100.0,5239992522.0,1252270215.0,0.0028389240256744427
2026-03-19,1438.9,1438.94,1412.57,1419.28,3031859.0,4404953481.0,1252270215.0,0.0024210900839799977
2026-03-20,1419.37,1428.69,1405.73,1411.59,2613234.0,3782818260.0,1252270215.0,0.0020867972173242177
