date,open,high,low,close,volume,amount,outstanding_share,turnover
2026-01-16,65.41,65.74,63.66,64.18,135609994.0,9017682809.0,10660065083.000002,0.012721310136864197
2026-01-19,64.13,64.78,63.77,64.15,83868106.0,5560566590.0,10660065083.000002,0.007867504123755075
2026-01-20,64.2,65.57,63.96,64.44,98849999.0,6611639902.0,10660065083.000002,0.009272926406203629
2026-01-21,64.48,65.0,63.52,63.71,93540213.0,6198978527.0,10660065083.000002,0.008774825694936143
2026-01-22,63.98,64.42,62.43,62.7,114392226.0,7455922559.0,10660065083.000002,0.01073091253283486
2026-01-23,63.08,63.36,61.59,61.83,140769883.0,9048849720.0,10660065083.000002,0.013205349301712136
2026-01-26,61.92,64.1,61.7,62.06,201384596.0,13083521294.0,10660065083.000002,0.018891497794057133
2026-01-27,62.22,64.2,62.18,63.19,150884105.0,9868833866.0,10660065083.000002,0.014154144822306989
2026-01-28,63.73,63.91,62.34,62.65,199285418.0,12952514678.0,10660065083.000002,0.01869457798318772
2026-01-29,62.92,65.82,62.44,65.79,275571332.0,18287719695.0,10660065083.000002,0.025850811402593005
2026-01-30,65.8,66.46,64.24,64.58,160322836.0,10768334982.0,10660065083.000002,0.01503957384422284
2026-02-02,64.2,66.11,63.6,63.88,135454854.0,9059867836.0,10660065083.000002,0.01270675675479832
2026-02-03,64.73,65.21,63.49,64.42,103322505.0,6862044454.0,10660065083.000002,0.009692483506950835
2026-02-04,64.29,65.26,64.08,65.21,87740307.0,5866716207.0,10660065083.000002,0.008230747778446746
2026-02-05,64.99,65.78,64.01,65.16,90819121.0,6088193606.0,10660065083.000002,0.00851956533969315
2026-02-06,64.71,65.42,64.26,64.73,74927488.0,5011778788.0,10660065083.000002,0.007028802114866036
2026-02-09,65.26,66.86,64.93,66.47,102123690.0,6973342327.0,10660065083.000002,0.009580025000303272
2026-02-10,66.48,66.57,65.6,65.98,54873478.0,3743029914.0,10660065083.000002,0.005147574388406761
2026-02-11,66.04,66.45,64.88,65.31,61803197.0,4178546001.0,10660065083.000002,0.005797637867948839
2026-02-12,65.41,65.48,64.2,64.38,64637155.0,4320770033.0,10660065083.000002,0.006063485963428051
2026-02-13,64.0,64.2,62.95,63.17,84077184.0,5509966026.0,10660065083.000002,0.00788711732483519
2026-02-24,63.64,64.1,62.28,62.41,80005314.0,5208399201.0,10660065083.000002,0.0075051431090779564
2026-02-25,62.6,63.61,62.6,62.94,68355572.0,4452349687.0,10660065083.000002,0.006412303439780039
2026-02-26,63.37,63.4,61.24,61.44,103614642.0,6614432347.0,10660065083.000002,0.009719888311492402
2026-02-27,61.54,61.67,61.01,61.04,63301213.0,4006459826.0,10660065083.000002,0.005938163839257302
2026-03-02,60.38,61.06,59.7,60.33,101086184.0,6295717498.0,10660065083.000002,0.00948269857762931
2026-03-03,60.42,61.65,59.92,60.54,109553470.0,6885778079.0,10660065083.000002,0.010276998230968492
2026-03-04,60.18,60.53,58.68,59.78,100813361.0,6196271382.0,10660065083.000002,0.009457105581913452
2026-03-05,60.0,60.68,59.79,60.07,54636541.0,3404335407.0,10660065083.000002,0.005125347788648205
2026-03-06,59.78,61.29,59.66,60.64,57463292.0,3590186818.0,10660065083.000002,0.005390519809455838
2026-03-09,59.45,59.52,58.06,59.41,93036823.0,5663230289.0,10660065083.000002,0.008727603656789042
2026-03-10,59.85,60.36,59.72,60.08,46218362.0,2866994902.0,10660065083.000002,0.004335654767596693
2026-03-11,60.08,60.87,59.79,60.52,51727048.0,3234820115.0,10660065083.000002,0.004852413901533399
2026-03-12,60.13,60.4,59.23,59.6,66854186.0,4123729384.0,10660065083.000002,0.006271461335317251
2026-03-13,59.38,59.86,59.1,59.21,45804107.0,2813751146.0,10660065083.000002,0.0042967943106694065
2026-03-16,59.21,59.37,58.15,58.52,81859571.0,4946355959.0,10660065083.000002,0.007679087356656431
2026-03-17,58.62,60.76,58.61,59.83,90184988.0,5591874769.0,10660065083.000002,0.008460078554662983
2026-03-18,59.86,60.3,59.5,59.88,49047083.0,3034276337.0,10660065083.000002,0.004601011590277923
2026-03-19,59.21,59.3,58.44,58.65,68472203.0,4158160919.0,10660065083.000002,0.006423244367353361
2026-03-20,58.83,58.92,57.76,57.8,62076703.0,3738267788.0,10660065083.000002,0.005823294934568083
2026-03-23,56.99,57.09,55.38,55.61,125382261.0,7264101524.0,10660065083.000002,0.011761866369835932
2026-03-24,56.12,56.45,55.63,56.23,68186982.0,3949789641.0,10660065083.000002,0.0063964883393385925
2026-03-25,56.6,57.43,56.52,56.88,56238854.0,3309846362.0,10660065083.000002,0.005275657658946771
2026-03-26,56.87,56.87,54.7,54.96,101189634.0,5801815138.0,10660065083.000002,0.009492403021194574
2026-03-27,55.01,55.53,54.59,55.1,83437858.0,4753261022.0,10660065083.000002,0.00782714339456158
2026-03-30,54.51,54.71,54.03,54.5,73754441.0,4139267846.0,10660065083.000002,0.006918760854248341
2026-03-31,54.46,55.82,54.39,54.94,76411377.0,4363799010.0,10660065083.000002,0.0071680028597438895
2026-04-01,55.71,56.4,55.67,56.29,68403496.0,3964968442.0,10660065083.000002,0.006416799097135492
2026-04-02,56.12,56.12,55.31,55.4,45979403.0,2642755831.0,10660065083.000002,0.004313238487945542
2026-04-03,55.71,55.9,55.38,55.39,34367765.0,1975820960.0,10660065083.000002,0.003223973280876825
