sector_name,change_pct,up_count,down_count,top_stock
发电设备,18.17,0,0,
石油行业,16.41,0,0,
电子器件,12.59,0,0,
电力行业,10.04,0,0,
煤炭行业,10.0,0,0,
造纸行业,9.98,0,0,
化工行业,9.96,0,0,
供水供气,9.27,0,0,
仪器仪表,6.81,0,0,
金融行业,6.32,0,0,
医疗器械,5.41,0,0,
房地产,5.09,0,0,
环保行业,5.07,0,0,
开发区,4.14,0,0,
钢铁行业,4.03,0,0,
酒店旅游,3.35,0,0,
公路桥梁,3.13,0,0,
交通运输,2.73,0,0,
酿酒行业,2.63,0,0,
飞机制造,2.6,0,0,
其它行业,2.13,0,0,
商业百货,1.81,0,0,
摩托车,1.29,0,0,
综合行业,1.27,0,0,
农药化肥,1.09,0,0,
纺织机械,0.97,0,0,
化纤行业,0.73,0,0,
生物制药,0.66,0,0,
机械行业,-0.63,0,0,
物资外贸,-1.28,0,0,
有色金属,-1.58,0,0,
陶瓷行业,-1.67,0,0,
纺织行业,-2.06,0,0,
印刷包装,-2.21,0,0,
服装鞋类,-2.37,0,0,
塑料制品,-2.61,0,0,
玻璃行业,-2.83,0,0,
电器行业,-3.47,0,0,
电子信息,-4.04,0,0,
建筑建材,-5.26,0,0,
船舶制造,-5.48,0,0,
家具行业,-6.33,0,0,
农林牧渔,-7.44,0,0,
食品行业,-8.19,0,0,
汽车制造,-9.45,0,0,
传媒娱乐,-9.98,0,0,
家电行业,-10.0,0,0,
水泥行业,-10.01,0,0,
次新股,-18.96,0,0,
