sector_name,change_pct,up_count,down_count,top_stock
电网设备,6.65,136,4,益坤电气
能源金属,6.53,12,0,*ST威领
油气开采及服务,4.35,18,1,潜能恒信
电池,4.22,100,6,中瑞股份
工业金属,4.21,54,1,新威凌
贸易,4.01,14,0,中信金属
风电设备,3.78,28,3,振宏股份
综合,3.67,18,0,ST三木
环境治理,3.67,107,3,通源环境
军工装备,3.45,77,5,北方长龙
化学原料,3.44,55,4,滨化股份
纺织制造,3.41,32,1,富春染织
环保设备,3.39,26,4,蓝盾光电
种植业与林业,3.39,29,1,敦煌种业
工程机械,3.31,34,2,福事特
农化制品,3.3,58,3,云图控股
光伏设备,3.22,64,8,德业股份
轨交设备,3.19,30,0,今创集团
石油加工贸易,3.18,26,1,万邦达
燃气,3.13,26,1,水发燃气
厨卫电器,2.87,9,0,火星人
其他电源设备,2.82,29,6,高特电子
钢铁,2.79,42,1,大中矿业
建筑材料,2.78,67,5,*ST亚士
专用设备,2.71,172,28,德石股份
金属新材料,2.66,32,2,新莱福
化学制品,2.62,156,19,日科化学
汽车整车,2.58,22,0,福田汽车
化学纤维,2.57,25,3,神马股份
小金属,2.57,27,2,国城矿业
教育,2.54,14,1,传智教育
电机,2.53,22,4,中电电机
造纸,2.5,22,2,齐峰新材
贵金属,2.42,14,0,四川黄金
物流,2.41,42,6,炬申股份
服装家纺,2.38,60,14,深中华A
家居用品,2.38,87,11,爱丽家居
建筑装饰,2.32,127,15,*ST美芝
军工电子,2.3,51,11,*ST天箭
包装印刷,2.27,40,6,永吉股份
橡胶制品,2.24,19,2,利通科技
汽车服务及其他,2.18,22,3,阿尔特
小家电,2.16,23,3,富佳股份
汽车零部件,2.09,232,35,安徽凤凰
非金属材料,1.99,13,3,粤桂股份
通用设备,1.97,196,51,理工光科
其他社会服务,1.92,32,10,联检科技
煤炭开采加工,1.91,27,7,华电能源
房地产,1.84,73,14,荣丰控股
塑料制品,1.81,59,17,江苏博云
养殖业,1.75,30,6,益生股份
电力,1.74,80,27,拓日新能
公路铁路运输,1.62,28,3,大众交通
零售,1.6,64,7,*ST皇庭
旅游及酒店,1.57,30,4,曲江文旅
多元金融,1.56,23,3,*ST九鼎
通信服务,1.55,31,13,ST信通
互联网电商,1.4,12,5,星徽股份
其他电子,1.38,22,12,新亚制程
证券,1.33,49,1,华安证券
农产品加工,1.32,35,7,佳沃食品
机场航运,1.32,11,2,华夏航空
港口航运,1.27,32,3,厦门港务
白色家电,1.24,30,14,金海高科
影视院线,1.22,15,5,中国电影
文化传媒,1.22,68,15,ST龙韵
食品加工制造,1.21,48,16,ST麦趣
医疗器械,1.2,102,35,五洲医疗
饮料制造,1.06,35,10,国投中鲁
自动化设备,1.06,62,34,凯迪股份
光学光电子,0.98,76,29,鸿合科技
美容护理,0.88,20,12,水羊股份
计算机设备,0.84,59,23,佳缘科技
IT服务,0.79,83,45,云创退
通信设备,0.78,60,31,三旺通信
医药商业,0.78,20,11,合富中国
保险,0.75,5,0,中国人寿
化学制药,0.6,101,56,联环药业
银行,0.58,33,5,齐鲁银行
中药,0.55,38,28,汉森制药
消费电子,0.51,57,39,昀冢科技
黑色家电,0.34,5,4,极米科技
软件开发,0.07,76,60,普联软件
元件,0.0,31,30,东晶电子
游戏,-0.01,14,10,迅游科技
医疗服务,-0.03,22,33,创新医疗
生物制品,-0.26,19,35,万泽股份
白酒,-1.17,2,16,皇台酒业
电子化学品,-1.29,14,28,海星股份
半导体,-3.24,18,162,ST派瑞
