序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
66,002775,文科股份,9.968847274780273,3.53,85509246,2050287974.1899998,2277994171.8399997,4.304883003234863,11178380,111400,111400,0,1/1,1,基础建设
67,600844,金煤科技,10.035842895507812,3.07,300660144,2525783046.3799996,3120729416.7999997,12.415552139282227,38295794,111815,111842,1,1/1,1,化学原料
68,300214,日科化学,20.0,10.26,482493248,4769900819.64,4769900758.08,10.785677909851074,45167598,112339,130000,1,1/1,1,化学制品
69,002539,云图控股,10.038609504699707,11.4,455346960,10143647325.0,13768050864.0,4.641720294952393,11608620,112539,112539,0,1/1,1,农化制品
70,000155,川能动力,10.02685832977295,12.29,973416544,22689408923.18,22689408849.44,4.4729156494140625,57090884,112948,130024,1,1/1,1,电力
71,300444,双杰电气,20.0,9.54,944382064,5985793808.459999,7676075715.839999,17.06314468383789,117713935,130306,130306,0,1/1,1,电网设备
72,002451,摩恩电气,10.0,6.82,121605610,2994996180.0,3005369400.0,4.230160236358643,92803791,130324,130324,0,1/1,1,电网设备
73,600409,三友化工,10.033445358276367,6.58,340846064,13583419367.84,13583419420.48,2.61881685256958,53046604,130402,130402,0,1/1,1,化学原料
74,600513,联环药业,10.02656078338623,16.57,434329952,4730010393.9,4730010427.04,9.704183578491211,75709987,130410,130828,2,1/1,1,化学制药
75,002560,通达股份,9.963099479675293,5.96,324349088,3774754556.8,4382219212.8,8.884685516357422,64961300,130721,130721,0,1/1,1,电网设备
76,000668,荣丰控股,10.0,16.06,62859389,2358280753.3999996,2358280753.3999996,2.8124828338623047,19231850,130733,131021,1,1/1,1,房地产开
77,603212,赛伍技术,9.989484786987305,10.46,168225173,4576152052.56,4576152094.400001,3.8252429962158203,40893903,130736,130736,0,1/1,1,光伏设备
78,301587,中瑞股份,20.022245407104492,21.58,210496259,1585116603.1999998,3179339103.2,14.222644805908203,50771611,130839,130839,0,1/1,1,电池
79,002546,新联电子,10.0401611328125,8.22,369419632,6586127829.120001,6855883634.88,5.857790946960449,62054424,130915,130915,0,1/1,1,电网设备
80,600611,大众交通,9.947644233703613,4.2,371975680,6565928728.8,9929316028.800001,5.930114269256592,60925548,131027,131651,1,1/1,1,铁路公路
81,601606,长城军工,10.003775596618652,29.14,850417696,21104015576.0,21104015576.0,4.206603527069092,134239092,131415,131415,0,1/1,1,地面兵装
82,603727,博迈科,10.031545639038086,17.44,153495589,4913184190.88,4913184243.200001,3.249526262283325,38669589,131712,131712,0,4/2,1,油服工程
83,600389,江山股份,10.01137638092041,19.34,328763552,8328771000.0,8328771000.0,4.108608722686768,63454694,132219,132428,2,1/1,1,农化制品
84,002173,创新医疗,10.029325485229492,18.76,1103227440,7895427981.56,8278494443.52,14.51395320892334,125422606,133124,133124,0,1/1,1,医疗服务
85,603488,展鹏科技,9.985734939575195,7.71,98539062,2251246292.4,2251246354.08,4.5454912185668945,19955022,133357,133706,1,1/1,1,专用设备
86,000862,银星能源,10.037175178527832,5.92,460882912,3717565160.96,5434291847.68,13.054534912109375,61615940,133403,135424,1,1/1,1,电力
87,002725,跃岭股份,10.0,10.78,119268721,2683825796.96,2759680000.0,4.609353065490723,28935676,133403,133403,0,1/1,1,汽车零部
88,002606,大连电瓷,10.024252891540527,13.61,506778656,5731743368.55,5975786469.759999,9.199260711669922,50019526,133554,133554,0,1/1,1,电网设备
89,300141,和顺电气,20.0,9.84,181487967,2505448598.4,2537190864.0,7.830603122711182,22772712,133715,133715,0,1/1,1,电网设备
90,002358,森源电气,10.0,5.5,255931782,5113656361.0,5113663368.0,5.208654880523682,20741600,133736,133736,0,1/1,1,电网设备
91,600990,四创电子,10.0,16.94,104137827,4557075070.240001,4591609496.320001,2.3662500381469727,27398671,133747,133850,1,1/1,1,军工电子
92,600343,航天动力,10.011778831481934,18.68,950305952,11921694580.64,11921694655.36,8.276036262512207,40586036,134210,134210,0,1/1,1,通用设备
93,600698,湖南天雁,10.088496208190918,6.22,236128665,5165409829.0199995,6646926668.16,4.714907646179199,38141910,134602,134602,0,1/1,1,汽车零部
94,603680,今创集团,9.977324485778809,9.7,81598847,7602072039.9,7602072049.599999,1.1206674575805664,28701330,134606,134606,0,1/1,1,轨交设备
95,301357,北方长龙,20.002779006958008,86.33,564720368,8218616000.0,8218616000.0,7.390344619750977,38071530,134948,141130,1,1/1,1,地面兵装
96,600396,华电辽能,9.986595153808594,16.41,5352355328,24167118866.97,24167118850.56,23.207611083984375,105174972,135334,135334,0,4/3,2,电力
97,600449,宁夏建材,10.02685832977295,12.29,120623440,5876845006.179999,5876844981.599999,2.1510262489318848,26698796,135546,135619,1,1/1,1,水泥
98,600354,敦煌种业,10.018214225769043,6.04,357472000,3187924563.2,3187924563.2,11.715868949890137,32379836,140509,140542,1,1/1,1,种植业
99,603876,鼎胜新材,10.010427474975586,21.1,743441216,19607538194.300003,19607538257.600002,3.9261176586151123,47805426,141613,141613,0,1/1,1,工业金属
100,603082,北自科技,9.986859321594238,33.48,149602861,1357845011.9999998,5546933087.4,11.469318389892578,30219048,141812,142612,2,1/1,1,自动化设
101,002566,益盛药业,9.965636253356934,6.4,103623720,1483458995.2,2118090240.0,7.255043983459473,29171840,142536,142536,0,1/1,1,中药Ⅱ
102,603050,科林电气,10.017678260803223,18.67,161992070,7529969333.31,7529969464.000001,2.2496485710144043,27269756,142701,142701,0,1/1,1,电网设备
103,601700,风范股份,10.0,4.95,236918193,5636848635.0,5636848615.2,4.390525817871094,13594754,143454,143454,0,1/1,1,电网设备
104,605117,德业股份,10.004971504211426,88.51,2102832016,112693678996.36,112693679350.40001,1.9155439138412476,149237330,143823,143823,0,1/1,1,光伏设备
105,603861,白云电器,10.0,12.1,242282768,6395896383.8,6540388219.2,3.970750570297241,43515230,144025,144025,0,1/1,1,电网设备
106,002596,海南瑞泽,9.926470756530762,2.99,164969763,3428110551.32,3431265730.88,4.987644672393799,20616050,144121,144821,1,1/1,1,水泥
107,605288,凯迪股份,10.00325870513916,67.52,115109049,6635762767.04,6680578491.839999,1.8616670370101929,16211552,144136,144136,0,3/2,1,自动化设
108,001388,信通电子,10.02309513092041,23.82,408115712,2980324385.04,5568306120.0,14.978381156921387,16294118,144236,144236,0,9/5,1,电网设备
109,600230,沧州大化,10.032626152038574,13.49,263141339,5584334092.35,5584333997.92,4.890223026275635,50808736,144301,144301,0,1/1,1,化学制品
110,600268,国电南自,10.0,11.66,539003760,11840676947.0,11845053341.44,4.744148254394531,55197087,144339,144339,0,1/1,1,电网设备
111,000803,山高环能,10.032362937927246,6.8,200115863,3126556904.0,3170813888.0,6.665410041809082,13302160,144406,144406,0,1/1,1,电力
112,301292,海科新源,20.003828048706055,62.69,1152133056,5340508252.33,13967067322.82,23.673208236694336,97915511,144827,144827,0,1/1,1,电池
113,603026,石大胜华,9.998249053955078,62.82,918397024,14618277699.48,14618277699.48,6.559590816497803,94581038,145059,145059,0,1/1,1,电池
114,300510,金冠股份,20.0,3.66,343554864,3018367962.0,3018367976.6400003,11.942787170410156,33002340,145203,145203,0,1/1,1,电网设备
115,002674,兴业科技,10.014873504638672,22.19,532003664,6491987437.88,6558275447.360001,8.718639373779297,43887382,145409,145409,0,1/1,1,纺织制造
116,603331,百达精工,9.979839324951172,10.91,89701069,2205736188.76,2205736188.76,4.267922878265381,24077279,145433,145433,0,1/1,1,通用设备
