序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000595,新能股份,9.960159301757812,5.52,27252792,6285383140.32,6285383151.36,0.43358999490737915,81157800,092500,092500,0,2/2,2,电力
2,002199,东晶电子,10.051281929016113,10.73,60731982,2477901357.89,2612136554.9900002,2.450944423675537,38481889,092500,092500,0,1/1,1,元件
3,002353,杰瑞股份,9.997557640075684,135.11,392943664,93366227272.65001,138333162542.40002,0.42086273431777954,1137204116,092500,092500,0,1/1,1,专用设备
4,301234,五洲医疗,20.0,48.96,21268224,1966753212.48,3329280000.0,1.0813875198364258,469991520,092500,092500,0,2/2,2,医疗器械
5,603221,爱丽家居,10.025928497314453,12.73,2389421,3084097100.0,3112994200.0,0.07747554033994675,219910750,092500,092500,0,3/3,3,家居用品
6,605299,舒华体育,9.981851577758789,12.12,117585810,4940830812.96,4940830861.44,2.3802881240844727,44591104,093000,093000,0,1/1,1,文娱用品
7,600980,北矿科技,10.024907112121582,17.67,34465774,3344286504.4200006,3414966504.4200006,1.0325264930725098,27786145,093004,093004,0,1/1,1,专用设备
8,002088,鲁阳节能,10.029069900512695,7.57,47845055,3830152271.81,3857908062.88,1.262094497680664,10426070,093024,093100,1,1/1,1,装修建材
9,603619,中曼石油,9.981255531311035,23.47,375955104,10851083679.67,10851083750.08,3.496105909347534,78636141,093111,093111,0,8/4,2,油服工程
10,603988,中电电机,9.9935941696167,17.17,81910463,4038384000.0000005,4038384000.0000005,2.05263614654541,63930778,093112,093112,0,2/2,2,电机Ⅱ
11,002197,证通电子,10.043041229248047,7.67,817002272,4095780092.04,4712163657.76,20.3686580657959,34106956,093127,103333,6,3/3,3,计算机设
12,605162,新中港,10.026041030883789,8.45,114023394,3742051327.95,3742051268.7999997,3.0816848278045654,76307294,093135,093135,0,2/2,2,电力
13,600962,国投中鲁,10.0,22.11,61616842,5797463100.0,5797463100.0,1.0714045763015747,39344081,093139,093218,1,1/1,1,农产品加
14,001258,立新能源,9.990917205810547,12.11,1270567168,11302548602.24,11302666602.08,11.303661346435547,195278594,093145,094806,7,6/6,6,电力
15,002218,拓日新能,10.086455345153809,3.82,198562533,5300929383.179999,5379706550.08,3.807368516921997,89064033,093230,093915,1,1/1,1,电力
16,002339,积成电子,10.0,7.04,304396336,3370192172.16,3548809594.88,9.344040870666504,32140627,093324,133736,1,1/1,1,电网设备
17,000011,深物业A,9.956075668334961,7.51,95190065,3953831327.93,4475802950.88,2.4321868419647217,10753246,093342,095330,2,1/1,1,房地产开
18,002879,长缆科技,9.986595153808594,16.41,420753296,2250451334.61,3168896372.4,19.16669273376465,143200224,093445,094557,2,3/3,3,电网设备
19,002229,鸿博股份,10.010649681091309,10.33,240441074,5094303163.79,5125658071.04,4.840738296508789,106753319,093612,093612,0,1/1,1,IT服务Ⅱ
20,000815,美利云,9.981401443481445,17.74,2101806928,12333966240.9,12333966329.599998,17.62148094177246,222136909,093703,094103,3,4/4,4,IT服务Ⅱ
21,601678,滨化股份,10.088496208190918,6.22,813510880,12709551636.72,14983745331.84,6.4678826332092285,129200795,093730,103124,1,1/1,1,化学原料
22,002412,汉森制药,9.98509693145752,7.38,236457687,3674096100.0,3713616000.0,6.693945407867432,95943114,093848,093848,0,2/2,2,中药Ⅱ
23,000533,顺钠股份,10.012674331665039,8.68,243846219,5944952832.0,5996282880.0,4.1840434074401855,121593076,093927,094139,1,1/1,1,电网设备
24,603318,水发燃气,9.987358093261719,8.7,422522176,3993917038.7999997,4825656979.2,10.82400131225586,73013010,094009,094248,1,1/1,1,燃气Ⅱ
25,002298,中电鑫龙,10.014947891235352,7.36,213590045,4863171424.320001,5447216194.56,4.505865573883057,105071691,094339,094339,0,1/1,1,电网设备
26,002774,快意电梯,10.032573699951172,16.89,147861246,4759064644.650001,5686658698.56,3.1937601566314697,74586240,094509,094509,0,1/1,1,专用设备
27,002762,金发拉比,10.044313430786133,7.45,29254789,1574769333.3,2637486309.6,1.9042737483978271,26048746,094742,094742,0,1/1,1,服装家纺
28,605100,华丰股份,10.00719928741455,30.56,145482581,7270370688.0,7304512320.0,2.0635035037994385,35108733,094825,094825,0,1/1,1,通用设备
29,688618,三旺通信,19.992019653320312,30.07,114394628,3309138789.36,3309138789.36,3.622192621231079,11983857,094831,094940,1,1/1,1,通信设备
30,603399,永杉锂业,10.02405834197998,13.72,666896352,7028627704.280001,7028627800.320001,9.757482528686523,106808828,094907,101425,1,1/1,1,能源金属
31,603956,威派格,9.961685180664062,5.74,90037955,3271262081.6400003,3271262093.12,2.8256750106811523,53308528,094917,095214,1,1/1,1,专用设备
32,002498,汉缆股份,10.055866241455078,5.91,439663056,19661364360.0,19661364360.0,2.3063395023345947,162659269,094918,095100,1,1/1,1,电网设备
33,600379,宝光股份,10.028653144836426,11.52,142304506,3803922017.2799997,3803922063.3599997,3.8436038494110107,67299840,094955,094955,0,1/1,1,电网设备
34,000017,深中华A,10.077519416809082,5.68,57382170,2503868681.68,3914570391.04,2.360497236251831,27041344,095015,095015,0,1/1,1,饰品
35,600984,建设机械,9.969788551330566,3.64,172553852,4575639887.0,4575639868.8,3.8327839374542236,40112326,095117,101153,2,1/1,1,工程机械
36,003001,中岩大地,10.02967357635498,18.54,502435520,2120356430.28,3236164304.7599998,24.433523178100586,35989866,095218,101603,1,1/1,1,专业工程
37,002713,东易日盛,10.022778511047363,9.66,151894642,5085998027.46,9190574077.44,3.0793745517730713,42750330,095306,095306,0,1/1,1,装修装饰
38,605189,富春染织,10.036630630493164,15.02,265647129,3578288783.7799997,3578288783.7799997,7.690393447875977,49498319,095327,100103,3,1/1,1,纺织制造
39,300062,中能电气,20.03780746459961,6.35,318737088,2910574887.5,4000102337.6,11.595575332641602,84746242,095336,095336,0,1/1,1,电网设备
40,001382,新亚电缆,10.02656078338623,16.57,107411509,1043910000.0,6826840000.0,10.572978973388672,35850852,095409,095527,1,1/1,1,电网设备
41,000608,阳光股份,9.931507110595703,6.42,247145522,4785644928.78,4814443463.04,5.304971694946289,79582313,095412,095412,0,1/1,1,房地产开
42,002083,孚日股份,9.978991508483887,10.47,547465056,9911310455.640001,9911310413.76,5.644078731536865,110194656,095939,100057,1,1/1,1,纺织制造
43,301158,德石股份,19.984140396118164,15.13,276234560,2877068056.82,2950579416.19,10.028553009033203,50109349,100115,101800,1,1/1,1,专用设备
44,603567,珍宝岛,9.98307991027832,6.5,666676560,6106121398.0,6111529320.0,11.458755493164062,84320307,100510,132446,1,6/3,1,中药Ⅱ
45,002900,哈三联,10.0,12.1,288540224,1949581040.0,3827889982.4,15.623880386352539,46589840,100548,100548,0,2/2,2,化学制药
46,002379,宏桥控股,10.005379676818848,20.45,1472313936,23238843248.85,266486369971.19998,6.541884899139404,43270155,100639,103518,2,1/1,1,工业金属
47,000603,盛达资源,10.01329231262207,24.83,1656097552,16554567193.97,17131938811.519999,10.374778747558594,239527561,100733,101112,1,3/3,3,贵金属
48,601179,中国西电,9.991942405700684,13.65,2411991168,69968294104.8,69968294323.2,3.567596197128296,427942979,100738,100738,0,1/1,1,电网设备
49,603400,华之杰,10.0147705078125,37.24,168467411,1349207993.0,4834871993.0,12.770211219787598,20541584,100746,143949,1,1/1,1,通用设备
50,920222,益坤电气,30.000001907348633,28.6,150928437,330690074.0,2449507060.0,48.311519622802734,19413308,101102,130350,1,1/1,1,电网设备
51,000688,国城矿业,10.007524490356445,29.24,807590000,34651253406.64,34651379898.88,2.401432752609253,97646073,101427,104257,2,1/1,1,小金属
52,002112,三变科技,10.0,14.52,244138159,3805395066.0,4270786185.6,6.6353840827941895,61424972,101606,101606,0,1/1,1,电网设备
53,002300,太阳电缆,10.068259239196777,6.45,193780698,4658802820.95,4659052339.2,4.314765453338623,27467408,101900,101900,0,1/1,1,电网设备
54,001208,华菱线缆,10.024252891540527,13.61,292657280,4337965071.7699995,8687949379.52,6.956374645233154,38005816,101909,101909,0,1/1,1,电网设备
55,600550,保变电气,10.009443283081055,11.65,703789456,21453806792.0,21453806792.0,3.415361166000366,92574231,101951,101951,0,1/1,1,电网设备
56,603191,望变电气,10.016420364379883,13.4,229329004,4421526162.6,4421526176.0,5.325070381164551,54471000,102036,111939,1,1/1,1,电网设备
57,600468,百利电气,9.920635223388672,5.54,235584038,6026053678.34,6026053717.12,4.044050693511963,34743284,103103,103315,1,1/1,1,电网设备
58,600219,南山铝业,10.11494255065918,4.79,1874502256,55006930467.61,55006930204.16,3.5186877250671387,143093859,104255,104255,0,1/1,1,工业金属
59,001337,四川黄金,10.0,40.26,773463168,16909200000.0,16909200000.0,4.758942604064941,41691927,104615,104615,0,1/1,1,贵金属
60,002240,盛新锂能,10.018083572387695,30.42,1740611296,27770683323.24,27843239586.24,6.467494487762451,147455170,104648,104648,0,1/1,1,能源金属
61,600173,卧龙新能,10.035842895507812,6.14,127635608,4300555738.16,4301108313.599999,3.0512855052948,20916524,104854,105121,1,1/1,1,房地产开
62,601061,中信金属,10.0,11.66,275439120,57134000000.0,57134000000.0,0.49902111291885376,99467064,105601,105601,0,1/1,1,贸易Ⅱ
63,002165,红 宝 丽,10.0,6.49,512287008,4722021432.04,4771901261.6,11.350665092468262,102825794,110115,110115,0,1/1,1,化学制品
64,600722,金牛化工,9.989909172058105,10.9,1365023360,7415484468.400001,7415484512.0,19.40188217163086,64433584,110157,110436,2,5/4,2,化学原料
65,000035,中国天楹,10.022778511047363,4.83,381853376,11171914362.84,11534198269.44,3.551859140396118,25328587,111015,111109,1,1/1,1,环境治理
