sector_name,change_pct,up_count,down_count,top_stock
兵装重组概念,6.39,0,0,
可燃冰,5.68,0,0,
柔性直流输电,5.28,0,0,
赛马概念,4.57,0,0,
金属锌,4.53,0,0,
特高压,4.25,0,0,
金属铅,3.94,0,0,
金属镍,3.84,0,0,
页岩气,3.77,0,0,
钠离子电池,3.71,0,0,
动力电池回收,3.67,0,0,
盐湖提锂,3.66,0,0,
环氧丙烷,3.6,0,0,
光热发电,3.6,0,0,
俄乌冲突概念,3.59,0,0,
金属铜,3.56,0,0,
电力物联网,3.55,0,0,
PVDF概念,3.54,0,0,
换电概念,3.54,0,0,
磷化工,3.52,0,0,
丙烯酸,3.47,0,0,
化肥,3.46,0,0,
虚拟电厂,3.45,0,0,
金属回收,3.38,0,0,
新疆振兴,3.37,0,0,
钛白粉概念,3.37,0,0,
土壤修复,3.28,0,0,
高压氧舱,3.26,0,0,
超导概念,3.24,0,0,
高铁,3.23,0,0,
摘帽,3.23,0,0,
POE胶膜,3.22,0,0,
水泥概念,3.2,0,0,
建筑节能,3.2,0,0,
石墨电极,3.2,0,0,
高压快充,3.18,0,0,
黑龙江自贸区,3.16,0,0,
钒电池,3.16,0,0,
垃圾分类,3.15,0,0,
天然气,3.15,0,0,
雅下水电概念,3.14,0,0,
硅能源,3.14,0,0,
国产航母,3.14,0,0,
固废处理,3.1,0,0,
草甘膦,3.09,0,0,
小金属概念,3.07,0,0,
净水概念,3.03,0,0,
抽水蓄能,3.01,0,0,
中俄贸易概念,3.01,0,0,
中船系,3.0,0,0,
金属钴,3.0,0,0,
托育服务,3.0,0,0,
特钢概念,2.97,0,0,
光伏建筑一体化,2.97,0,0,
有机硅概念,2.96,0,0,
煤化工概念,2.94,0,0,
举牌,2.93,0,0,
染料,2.93,0,0,
PPP概念,2.91,0,0,
生态农业,2.88,0,0,
农机,2.88,0,0,
地下管网,2.87,0,0,
黄金概念,2.86,0,0,
粮食概念,2.81,0,0,
消毒剂,2.79,0,0,
转基因,2.79,0,0,
氟化工概念,2.78,0,0,
露营经济,2.71,0,0,
成飞概念,2.7,0,0,
房屋检测,2.7,0,0,
生物质能发电,2.69,0,0,
特色小镇,2.69,0,0,
装配式建筑,2.68,0,0,
雄安新区,2.68,0,0,
可控核聚变,2.64,0,0,
共享单车,2.62,0,0,
足球概念,2.61,0,0,
供销社,2.61,0,0,
玉米,2.6,0,0,
烟草,2.59,0,0,
冰雪产业,2.58,0,0,
碳交易,2.56,0,0,
海南自贸区,2.53,0,0,
超超临界发电,2.52,0,0,
大飞机,2.5,0,0,
煤炭概念,2.47,0,0,
土地流转,2.45,0,0,
