sector_name,change_pct,up_count,down_count,top_stock
半导体,9.83,0,0,
电子化学品,8.92,0,0,
元件,7.1,0,0,
贵金属,6.94,0,0,
其他电子,6.78,0,0,
自动化设备,4.91,0,0,
通信设备,4.88,0,0,
能源金属,4.87,0,0,
消费电子,4.77,0,0,
小金属,4.68,0,0,
非金属材料,4.63,0,0,
光学光电子,4.61,0,0,
电池,4.28,0,0,
金属新材料,4.15,0,0,
其他电源设备,3.86,0,0,
通用设备,2.94,0,0,
军工电子,2.81,0,0,
黑色家电,2.74,0,0,
计算机设备,2.5,0,0,
电机,2.42,0,0,
塑料制品,2.39,0,0,
环保设备,2.37,0,0,
工业金属,2.26,0,0,
IT服务,2.21,0,0,
通信服务,2.02,0,0,
其他社会服务,1.98,0,0,
光伏设备,1.94,0,0,
软件开发,1.89,0,0,
专用设备,1.83,0,0,
白色家电,1.73,0,0,
游戏,1.69,0,0,
工程机械,1.61,0,0,
互联网电商,1.56,0,0,
多元金融,1.51,0,0,
军工装备,1.5,0,0,
风电设备,1.43,0,0,
化学制品,1.32,0,0,
电网设备,1.3,0,0,
汽车零部件,1.26,0,0,
橡胶制品,1.05,0,0,
包装印刷,0.79,0,0,
化学纤维,0.74,0,0,
教育,0.71,0,0,
建筑材料,0.64,0,0,
机场航运,0.43,0,0,
文化传媒,0.41,0,0,
证券,0.26,0,0,
化学原料,0.17,0,0,
建筑装饰,0.17,0,0,
钢铁,0.15,0,0,
环境治理,0.14,0,0,
造纸,0.09,0,0,
农化制品,-0.02,0,0,
轨交设备,-0.02,0,0,
影视院线,-0.08,0,0,
小家电,-0.17,0,0,
汽车整车,-0.25,0,0,
汽车服务及其他,-0.29,0,0,
物流,-0.39,0,0,
港口航运,-0.44,0,0,
贸易,-0.45,0,0,
美容护理,-0.6,0,0,
生物制品,-0.66,0,0,
医疗服务,-0.7,0,0,
医疗器械,-0.72,0,0,
保险,-0.75,0,0,
旅游及酒店,-0.77,0,0,
纺织制造,-1.01,0,0,
种植业与林业,-1.04,0,0,
零售,-1.08,0,0,
家居用品,-1.11,0,0,
房地产,-1.11,0,0,
服装家纺,-1.16,0,0,
综合,-1.24,0,0,
电力,-1.28,0,0,
饮料制造,-1.32,0,0,
公路铁路运输,-1.32,0,0,
中药,-1.38,0,0,
化学制药,-1.41,0,0,
食品加工制造,-1.43,0,0,
养殖业,-1.53,0,0,
农产品加工,-1.78,0,0,
白酒,-1.85,0,0,
燃气,-1.87,0,0,
银行,-1.88,0,0,
煤炭开采加工,-1.94,0,0,
石油加工贸易,-2.05,0,0,
医药商业,-2.4,0,0,
厨卫电器,-2.52,0,0,
油气开采及服务,-3.84,0,0,
