序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
38,002857,三晖电气,10.013908386230469,15.82,86544394,2034217073.0,2066629880.0,4.352975368499756,9368762,111036,111036,0,1/1,1,电网设备
39,002440,闰土股份,9.990663528442383,11.78,1142729600,11148114061.84,13240718869.119999,10.601646423339844,41073856,111742,140303,2,1/1,1,化学制品
40,600938,中国海油,10.010355949401855,31.87,2998057664,95291300000.0,1514779635509.76,3.224895715713501,115981304,112923,130238,2,1/1,1,油气开采
41,600188,兖矿能源,10.0,20.79,1507896688,123936508495.79999,208666152414.72,1.2440040111541748,48652861,131018,141836,4,1/1,1,煤炭开采
42,600863,华能蒙电,10.087719917297363,5.02,1615379088,32764976811.219997,39332651310.079994,5.0893731117248535,5547100,131347,145608,4,1/1,1,电力
43,301190,善水科技,19.97245216369629,17.42,207782761,2492871680.0000005,3738967830.0000005,8.847175598144531,42712098,131733,131733,0,1/1,1,化学原料
44,600578,京能电力,10.0,5.72,1405354736,38293232205.799995,38293231708.159996,3.7736566066741943,22610588,131803,144357,1,1/1,1,电力
45,000600,建投能源,10.049019813537598,8.98,772038736,9788656866.48,16193044768.320002,8.135209083557129,3753137,132254,145136,2,1/1,1,电力
46,600985,淮北矿业,10.0,15.62,459354960,42068701034.579994,42068700956.479996,1.1267290115356445,1018424,140252,141234,2,1/1,1,煤炭开采
47,600396,华电辽能,10.04291820526123,12.82,3422560128,18880101393.94,18880101381.12,19.153764724731445,74588042,144238,144238,0,1/1,1,电力
48,601991,大唐发电,10.0,6.38,5183059456,79087048496.28,118072813168.64,6.904404640197754,130530972,144244,150000,8,1/1,1,电力
49,601001,晋控煤业,9.98288631439209,19.28,450638032,32268936000.0,32268936000.0,1.4349368810653687,34482280,144358,144358,0,1/1,1,煤炭开采
50,000722,湖南发展,9.978307723999023,15.21,1100838176,7059847469.22,8690306264.640001,16.234901428222656,3262545,144433,145621,6,4/3,2,电力
51,000037,深南电A,10.0,10.12,746615024,3429750477.9999995,6099957431.04,22.61269760131836,1771000,144548,145512,2,2/2,2,电力
52,603823,百合花,10.002849578857422,77.2,2399259856,32143586748.800003,32143587366.4,7.893949031829834,31582674,144901,144901,0,1/1,1,化学制品
53,600032,浙江新能,10.04243278503418,7.78,707828880,18708374020.72,18708374051.84,3.984522819519043,787336,145520,145520,0,1/1,1,电力
