sector_name,change_pct,up_count,down_count,top_stock
国家大基金持股,10.78,0,0,
存储芯片,8.98,0,0,
第三代半导体,7.25,0,0,
AI PC,5.39,0,0,
超级电容,5.03,0,0,
AI手机,4.99,0,0,
BC电池,4.53,0,0,
传感器,4.1,0,0,
宁德时代概念,3.97,0,0,
比亚迪概念,3.55,0,0,
东数西算(算力),3.4,0,0,
锂电池概念,3.19,0,0,
安防,2.87,0,0,
超导概念,2.65,0,0,
低空经济,2.6,0,0,
抖音概念(字节概念),2.55,0,0,
阿里巴巴概念,2.52,0,0,
车联网(车路协同),2.51,0,0,
储能,2.46,0,0,
动力电池回收,2.46,0,0,
电子身份证,2.36,0,0,
百度概念,2.34,0,0,
大飞机,2.31,0,0,
充电桩,2.27,0,0,
成飞概念,2.21,0,0,
长安汽车概念,2.08,0,0,
电力物联网,1.75,0,0,
AI语料,1.64,0,0,
创投,1.24,0,0,
短剧游戏,0.81,0,0,
电子竞技,0.78,0,0,
抽水蓄能,0.7,0,0,
丙烯酸,0.68,0,0,
长三角一体化,0.63,0,0,
参股保险,0.11,0,0,
地下管网,-0.03,0,0,
参股银行,-0.07,0,0,
超级品牌,-0.09,0,0,
超超临界发电,-0.11,0,0,
参股券商,-0.13,0,0,
冰雪产业,-0.17,0,0,
代糖概念,-0.54,0,0,
重组蛋白,-0.6,0,0,
草甘膦,-0.71,0,0,
大豆,-0.82,0,0,
创新药,-0.95,0,0,
宠物经济,-1.0,0,0,
白酒概念,-1.07,0,0,
阿尔茨海默概念,-1.56,0,0,
动物疫苗,-1.56,0,0,
