date,open,high,low,close,volume
2026-01-16,4127.063,4140.225,4091.811,4101.913,76358846500
2026-01-19,4090.719,4126.518,4090.057,4114.0,68890587000
2026-01-20,4116.366,4128.93,4080.294,4113.649,73436249600
2026-01-21,4103.529,4135.959,4103.529,4116.94,66698950700
2026-01-22,4126.072,4140.838,4109.923,4122.576,70969540900
2026-01-23,4130.108,4143.75,4120.204,4136.164,78211545400
2026-01-26,4144.778,4160.985,4124.7,4132.605,88743973100
2026-01-27,4125.216,4158.802,4101.83,4139.904,75499086900
2026-01-28,4150.215,4170.147,4138.019,4151.238,82302674800
2026-01-29,4155.919,4170.214,4138.299,4157.985,90590837100
2026-01-30,4131.993,4152.85,4064.777,4117.948,80434274600
2026-02-02,4079.708,4103.407,4013.656,4015.746,73295369800
2026-02-03,4043.906,4069.418,4002.782,4067.738,63768424900
2026-02-04,4064.677,4104.621,4062.683,4102.202,67425424400
2026-02-05,4075.025,4088.904,4048.939,4075.917,59672223600
2026-02-06,4040.299,4095.03,4029.973,4065.583,55670980100
2026-02-09,4103.54,4123.159,4093.056,4123.09,57263258200
2026-02-10,4127.766,4134.338,4117.564,4128.373,52462096900
2026-02-11,4124.428,4142.561,4122.428,4131.985,50068527800
2026-02-12,4136.99,4140.593,4124.131,4134.018,52937011600
2026-02-13,4115.924,4123.844,4079.77,4082.073,50079947200
2026-02-24,4129.134,4131.55,4105.937,4117.409,56632224900
2026-02-25,4123.781,4167.844,4122.699,4147.231,72478721400
2026-02-26,4151.068,4152.193,4127.153,4146.631,65170282600
2026-02-27,4128.897,4166.234,4128.36,4162.882,68204764600
2026-03-02,4151.801,4188.77,4131.368,4182.591,86157921800
2026-03-03,4189.408,4197.228,4116.011,4122.676,92113917000
2026-03-04,4087.632,4106.04,4055.413,4082.474,76516953100
2026-03-05,4109.777,4125.617,4090.621,4108.567,68974653500
2026-03-06,4085.895,4129.465,4085.895,4124.194,64676576000
2026-03-09,4098.699,4106.534,4052.545,4096.602,79780355600
2026-03-10,4098.587,4123.958,4098.587,4123.138,67492219400
2026-03-11,4123.666,4135.839,4112.8,4133.433,70772716900
2026-03-12,4133.2,4141.649,4103.164,4129.103,78615118200
2026-03-13,4117.574,4134.079,4086.847,4095.449,79205476400
2026-03-16,4092.249,4096.133,4048.087,4084.786,73222709800
2026-03-17,4086.295,4108.4,4049.58,4049.907,67877122400
2026-03-18,4053.305,4065.373,4023.03,4062.984,62387310200
2026-03-19,4028.542,4042.022,3994.165,4006.552,66725542200
2026-03-20,4004.573,4022.703,3955.711,3957.053,66679838700
2026-03-23,3904.951,3906.622,3794.684,3813.283,80473885000
2026-03-24,3849.631,3881.424,3807.994,3881.28,68062203900
2026-03-25,3892.269,3933.061,3891.816,3931.838,68834362600
2026-03-26,3924.962,3937.104,3880.573,3889.084,61597398100
2026-03-27,3852.094,3924.108,3852.094,3913.724,56134296300
2026-03-30,3884.277,3924.289,3872.776,3923.287,59558947900
2026-03-31,3924.067,3948.811,3891.861,3891.861,60670498300
2026-04-01,3939.566,3955.943,3929.921,3948.552,56461159800
2026-04-02,3940.799,3952.576,3900.116,3919.285,54421283500
2026-04-03,3927.592,3929.529,3871.3,3880.097,49269908200
2026-04-07,3884.151,3902.607,3875.684,3890.165,47361507600
2026-04-08,3930.251,3994.998,3926.249,3994.998,64413535200
2026-04-09,3967.63,3979.127,3955.246,3966.171,54156980100
2026-04-10,3985.464,4011.024,3979.814,3986.225,54641554100
2026-04-13,3971.199,3991.262,3966.198,3988.558,54578176800
2026-04-14,4006.727,4026.626,3992.407,4026.626,57025900300
2026-04-15,4039.471,4050.621,4020.904,4027.21,56945858900
2026-04-16,4030.138,4057.831,4028.909,4055.547,54587696700
2026-04-17,4043.381,4058.604,4038.429,4051.425,54879140600
2026-04-20,4053.375,4083.19,4051.685,4082.127,58984137900
2026-04-21,4075.845,4086.637,4062.133,4085.077,57668945000
2026-04-22,4074.813,4106.844,4074.68,4106.258,58246634600
2026-04-23,4110.788,4114.844,4070.46,4093.25,67116609200
2026-04-24,4081.033,4092.613,4061.145,4079.9,60503179800
2026-04-27,4074.811,4092.831,4071.08,4086.344,58995086700
2026-04-28,4076.143,4090.201,4062.872,4078.637,60050749800
2026-04-29,4061.822,4112.152,4061.822,4107.514,61422145100
2026-04-30,4107.297,4118.755,4100.966,4112.159,65691272800
2026-05-06,4135.451,4166.147,4129.911,4160.174,70117748000
2026-05-07,4168.447,4180.21,4163.137,4180.092,68557424900
2026-05-08,4163.854,4183.063,4154.246,4179.952,69701909400
2026-05-11,4201.347,4229.58,4186.082,4225.021,76273628700
2026-05-12,4229.283,4230.184,4199.344,4214.489,71898400200
